Item ID	Item value	Change in Kuiper test statistic when item removed
ERO1A	-1.0	-0.010758998435054845
BCAR3	-2.0	-0.010758998435054845
DOCK4	12.0	0.003325508607198935
LEAP2	6.0	-0.010758998435054845
CPXM2	12.0	0.003325508607198935
GIMAP1	17.0	0.017410015649452437
TNC	-2.0	-0.010758998435054845
HSPB2	12.0	0.003325508607198935
DPF3	16.0	0.017410015649452437
CTSG	16.0	0.017410015649452437
ADAMTS9	14.0	0.017410015649452437
RPTN	10.0	0.003325508607198935
IER3	4.0	-0.010758998435054845
KLF12	12.0	0.003325508607198935
PTGIR	9.0	0.003325508607198935
PHYKPL	12.0	0.003325508607198935
VPS33A	-2.0	-0.010758998435054845
SLC6A14	4.0	-0.010758998435054845
C17ORF80	7.0	-0.010758998435054845
PLA2G4A	8.0	0.003325508607198935
ANO9	7.0	-0.010758998435054845
VRK3	8.0	0.003325508607198935
KCTD4	10.0	0.003325508607198935
CBFA2T3	10.0	0.003325508607198935
PRLR	1.0	-0.010758998435054845
RAB33A	5.0	-0.010758998435054845
FETUB	11.0	0.003325508607198824
GPRC5C	2.0	-0.010758998435054845
ASPA	10.0	0.003325508607198935
EMID1	0.0	-0.010758998435054568
ATF3	8.0	0.003325508607198935
PAOX	10.0	0.003325508607198935
RTN2	10.0	0.003325508607198935
CHODL	17.0	0.017410015649452437
TMEM63A	9.0	0.003325508607198935
COL13A1	2.0	-0.010758998435054845
NPR2	13.0	0.003325508607198935
ADAM22	8.0	0.003325508607198935
NOL9	8.0	0.003325508607198935
HSD17B7	9.0	0.003325508607198935
LYPD5	13.0	0.003325508607198935
NPAS1	11.0	0.003325508607198824
HSD11B2	-1.0	-0.010758998435054845
HPX	20.0	0.017410015649452437
IL1RL2	9.0	0.003325508607198935
LCE3B	9.0	0.003325508607198935
APOM	2.0	-0.010758998435054845
NFIL3	-3.0	-0.010758998435054845
AMDHD1	12.0	0.003325508607198935
TSPAN9	1.0	-0.010758998435054845
PRDM16	9.0	0.003325508607198935
GPR155	-2.0	-0.010758998435054845
BEND5	-3.0	-0.010758998435054845
KCNJ2	5.0	-0.010758998435054845
ST3GAL2	6.0	-0.010758998435054845
CYP2J2	13.0	0.003325508607198935
CAV3	15.0	0.017410015649452437
CYP51A1	14.0	0.017410015649452437
IRX4	2.0	-0.010758998435054845
MYBPH	8.0	0.003325508607198935
CYP4B1	11.0	0.003325508607198824
C1ORF21	-3.0	-0.010758998435054845
MCOLN2	0.0	-0.010758998435054568
KBTBD11	-3.0	-0.010758998435054845
DHODH	9.0	0.003325508607198935
PER1	13.0	0.003325508607198935
ATG16L2	9.0	0.003325508607198935
BCL6	18.0	0.017410015649452437
TRPV4	1.0	-0.010758998435054845
KLF9	16.0	0.017410015649452437
ASB2	-1.0	-0.010758998435054845
MXD3	19.0	0.017410015649452437
