Item ID	Item value	Change in Kuiper test statistic when item removed
PHF3	15.0	0.0081451314328026
LMBR1L	23.0	-0.00441194619276819
CHIC2	1.0	-0.005553498704183757
TXNL4B	21.0	0.008145131432802488
IRS2	8.0	0.008145131432802377
CBLB	2.0	-0.005553498704183757
OASL	21.0	0.008145131432802488
NUDT4	16.0	0.0081451314328026
THBD	2.0	-0.005553498704183757
RGS2	22.0	-0.004411946192768079
ZSCAN31	2.0	-0.005553498704183757
CHORDC1	23.0	-0.00441194619276819
UPP1	19.0	0.0081451314328026
PKNOX1	1.0	-0.005553498704183757
ZNF202	23.0	-0.00441194619276819
PSPH	2.0	-0.005553498704183757
LZTS3	12.0	0.0081451314328026
HSP90AA1	5.0	0.0081451314328026
KLF12	4.0	-0.0049827224484759736
BTN3A1	4.0	-0.0049827224484759736
DUSP1	9.0	0.0081451314328026
ABCC5	1.0	-0.005553498704183757
PPP2R5B	0.0	-0.005553498704183757
PLA2G4A	0.0	-0.005553498704183757
NAV2	3.0	-0.005553498704183757
SLC39A14	3.0	-0.005553498704183757
GEM	10.0	0.008145131432802377
ARMCX2	3.0	-0.005553498704183757
SLCO4A1	3.0	-0.005553498704183757
PALLD	13.0	0.0081451314328026
IRF1	19.0	0.0081451314328026
DDIT4	15.0	0.0081451314328026
IRF7	0.0	-0.005553498704183757
PLEKHO2	21.0	0.008145131432802488
LRIF1	22.0	-0.004411946192768079
ATF3	24.0	-0.005553498704183757
STX1A	0.0	-0.005553498704183757
RTN2	2.0	-0.005553498704183757
HDAC5	0.0	-0.005553498704183757
ZNF395	14.0	0.008145131432802377
KDM3A	16.0	0.0081451314328026
ABHD3	2.0	-0.005553498704183757
RRAD	0.0	-0.005553498704183757
PRDM10	5.0	0.0081451314328026
HSPD1	1.0	-0.005553498704183757
HSPH1	1.0	-0.005553498704183757
PDZD2	2.0	-0.005553498704183757
NFIL3	13.0	0.0081451314328026
UAP1L1	16.0	0.0081451314328026
LRIG2	14.0	0.008145131432802377
CDR2	13.0	0.0081451314328026
BRD4	12.0	0.0081451314328026
ATF7IP	4.0	-0.0049827224484759736
ZNF143	2.0	-0.005553498704183757
EGLN2	22.0	-0.004411946192768079
CHKA	1.0	-0.005553498704183757
NFYA	0.0	-0.005553498704183757
AKR1C3	2.0	-0.005553498704183757
PDE4DIP	2.0	-0.005553498704183757
KLF4	10.0	0.008145131432802377
CLK4	22.0	-0.004411946192768079
VEGFA	16.0	0.0081451314328026
PER2	9.0	0.0081451314328026
CLK1	20.0	0.0081451314328026
DNAJA1	24.0	-0.005553498704183757
PER1	5.0	0.0081451314328026
ITCH	13.0	0.0081451314328026
KITLG	1.0	-0.005553498704183757
SLC6A8	19.0	0.0081451314328026
PER3	3.0	-0.005553498704183757
AADAC	4.0	-0.0049827224484759736
CENPJ	0.0	-0.005553498704183757
CTH	24.0	-0.005553498704183757
KLF9	8.0	0.008145131432802377
