Item ID	Item value	Change in Kuiper test statistic when item removed
JPT1	13.0	-0.005285412262156175
TFRC	7.0	0.017970401691332127
FASTKD1	13.0	-0.005285412262156175
CDCA4	24.0	0.017970401691332016
GMPR2	14.0	-0.005285412262156397
SLC35F5	16.0	-0.005285412262156397
JPT2	14.0	-0.005285412262156397
HMMR	10.0	-0.005285412262156175
WDR46	11.0	-0.005285412262156175
HSPD1	13.0	-0.005285412262156175
THG1L	13.0	-0.005285412262156175
AURKA	9.0	0.017970401691332127
HS2ST1	4.0	0.017970401691332127
RBM4	13.0	-0.005285412262156175
CCNB1	10.0	-0.005285412262156175
UBXN8	15.0	-0.005285412262156397
DPH5	14.0	-0.005285412262156397
OIP5	14.0	-0.005285412262156397
CCT5	10.0	-0.005285412262156175
PSPH	14.0	-0.005285412262156397
FANCI	2.0	0.017970401691332127
EIF2B4	11.0	-0.005285412262156175
GINS2	16.0	-0.005285412262156397
RRM2	11.0	-0.005285412262156175
NUP210	12.0	-0.005285412262156397
ANGEL1	13.0	-0.005285412262156175
CAD	12.0	-0.005285412262156397
BFAR	11.0	-0.005285412262156175
ACSL3	12.0	-0.005285412262156397
TUBG1	10.0	-0.005285412262156175
NLE1	13.0	-0.005285412262156175
WDR77	13.0	-0.005285412262156175
RNF126	24.0	0.017970401691332016
SLCO4A1	15.0	-0.005285412262156397
CAPRIN1	1.0	0.017970401691332127
CKS2	11.0	-0.005285412262156175
TIMELESS	15.0	-0.005285412262156397
BIRC5	4.0	0.017970401691332127
CENPN	4.0	0.017970401691332127
B9D1	16.0	-0.005285412262156397
KIF2C	8.0	0.017970401691332127
CRELD1	14.0	-0.005285412262156397
LDAH	16.0	-0.005285412262156397
DCP2	11.0	-0.005285412262156175
