Item ID	Item value	Change in Kuiper test statistic when item removed
JPT1	9.0	0.01960784313725472
ZNF395	-2.0	-0.03921568627450989
ZMYND8	9.0	0.01960784313725472
FN1	19.0	0.07843137254901955
UBFD1	9.0	0.01960784313725472
PRLR	1.0	-0.03921568627451
DCAF7	7.0	0.01960784313725472
VEGFA	0.0	-0.03921568627451
AR	10.0	0.04411764705882337
RAB12	-3.0	-0.03921568627450989
DDIT4	-1.0	-0.03921568627450989
CHORDC1	7.0	0.01960784313725472
TYRO3	11.0	0.06127450980392135
DXO	8.0	0.01960784313725472
INTS8	9.0	0.01960784313725472
OSBP2	-3.0	-0.03921568627450989
HSPA1A	9.0	0.01960784313725472
PDK1	-1.0	-0.03921568627450989
