Item ID	Item value	Change in Kuiper test statistic when item removed
LY6K	14.0	0.03947368421052633
PPM1L	-3.0	-0.04166666666666663
KLK1	12.0	0.03947368421052633
RFESD	8.0	-0.013157894736842035
PPP2R5B	8.0	-0.013157894736842035
PHYHIP	9.0	-0.013157894736842146
TTC39A	6.0	-0.013157894736842035
OASL	5.0	-0.013157894736842035
AGPAT4	-3.0	-0.04166666666666663
SEC14L2	-1.0	-0.04166666666666663
TSPAN8	11.0	0.03947368421052633
C1QTNF12	-2.0	-0.04166666666666663
IRF7	8.0	-0.013157894736842035
SLC38A9	9.0	-0.013157894736842146
DNASE2	4.0	-0.030701754385964897
PHLDA2	5.0	-0.013157894736842035
S100A9	1.0	-0.04166666666666663
NEFH	16.0	0.03947368421052633
CDR2	-3.0	-0.04166666666666663
MXD3	19.0	0.03947368421052633
