Item ID	Item value	Change in Kuiper test statistic when item removed
RTP4	13.0	-0.011827956989247435
NNMT	21.0	0.02150537634408589
GALT	15.0	-0.011827956989247435
C1S	0.0	0.02150537634408589
C1R	23.0	0.02150537634408589
HMMR	10.0	-0.011827956989247435
ENO2	5.0	0.02150537634408589
THBD	14.0	-0.011827956989247435
CCNB1	10.0	-0.011827956989247435
DBP	13.0	-0.011827956989247435
SESN3	10.0	-0.011827956989247435
TRIM5	14.0	-0.011827956989247435
ADAMTS1	13.0	-0.011827956989247435
PGM1	6.0	0.02150537634408589
CRYGS	11.0	-0.011827956989247435
TBX1	3.0	0.02150537634408589
RIPK3	12.0	-0.011827956989247435
IRX3	15.0	-0.011827956989247435
LRRC40	2.0	0.02150537634408589
APTX	13.0	-0.011827956989247435
CDC25B	10.0	-0.011827956989247435
POLA1	18.0	0.02150537634408589
ARMCX2	15.0	-0.011827956989247435
PPP1R3C	3.0	0.02150537634408589
UBE2T	12.0	-0.011827956989247435
RFX5	12.0	-0.011827956989247435
SSPN	18.0	0.02150537634408589
KIF2C	8.0	0.02150537634408589
NIT1	14.0	-0.011827956989247435
RECK	15.0	-0.011827956989247435
ADA	14.0	-0.011827956989247435
