Item ID	Item value	Change in Kuiper test statistic when item removed
PDGFRA	13.0	0.021739130434782705
FZD2	-3.0	-0.021739130434782483
TFRC	3.0	0.021739130434782705
TNFAIP6	18.0	0.021739130434782705
LUM	18.0	0.021739130434782705
SCHIP1	7.0	0.021739130434782705
CETN3	8.0	0.021739130434782705
CADPS	0.0	-0.021739130434782483
CXCR4	-3.0	-0.021739130434782483
ADM	-2.0	-0.021739130434782483
DHCR24	12.0	0.021739130434782705
HMMR	6.0	0.021739130434782705
ACYP1	8.0	0.021739130434782705
NREP	13.0	0.021739130434782705
HK2	-1.0	-0.021739130434782483
AURKA	5.0	0.021739130434782705
MFAP4	17.0	0.021739130434782705
LDHA	1.0	-0.021739130434782483
PTTG1	1.0	-0.021739130434782483
MYB	0.0	-0.021739130434782483
BIRC5	0.0	-0.021739130434782483
PPFIA4	1.0	-0.021739130434782483
PFKP	1.0	-0.021739130434782483
PDK1	-1.0	-0.021739130434782483
