Item ID	Item value	Change in Kuiper test statistic when item removed
CCDC121	6.0	0.00406504065040697
C8ORF48	9.0	0.004065040650407081
AKNA	11.0	0.00406504065040697
PPP1R32	1.0	-0.02032520325203202
CEP19	6.0	0.00406504065040697
SLC41A1	9.0	0.004065040650407081
SPATA6	-4.0	-0.02032520325203202
OASL	5.0	-0.020325203252032076
RPGR	-3.0	-0.02032520325203202
CCT6B	-1.0	-0.020325203252032076
ABLIM2	17.0	0.028455284552846016
EFCAB2	-2.0	-0.02032520325203202
CDK20	8.0	0.00406504065040697
PSMG3-AS1	9.0	0.004065040650407081
TEKT2	-2.0	-0.02032520325203202
RIBC1	7.0	0.00406504065040697
NPTX2	17.0	0.028455284552846016
STOX1	-1.0	-0.020325203252032076
CLHC1	8.0	0.00406504065040697
LINC01588	11.0	0.00406504065040697
RIBC2	10.0	0.00406504065040697
BRD3OS	11.0	0.00406504065040697
HSP90AA1	13.0	0.028455284552846016
ZHX3	20.0	0.028455284552846016
STRBP	12.0	0.028455284552846016
TTC7B	15.0	0.028455284552846016
RFX2	-4.0	-0.02032520325203202
FBXO15	7.0	0.00406504065040697
RFX3	19.0	0.028455284552846016
LRWD1	7.0	0.00406504065040697
TUBG1	6.0	0.00406504065040697
TSGA10	11.0	0.00406504065040697
TPPP3	-2.0	-0.02032520325203202
LRTOMT	8.0	0.00406504065040697
RSPH14	-3.0	-0.02032520325203202
TYRO3	11.0	0.00406504065040697
CRY1	-3.0	-0.02032520325203202
PKIG	-1.0	-0.020325203252032076
XAF1	9.0	0.004065040650407081
CLUAP1	10.0	0.00406504065040697
NGEF	1.0	-0.02032520325203202
DNAL1	11.0	0.00406504065040697
