Item ID	Item value	Change in Kuiper test statistic when item removed
CLIC5	10.0	0.00951293759512939
DOCK4	12.0	0.00951293759512939
SCHIP1	7.0	0.00951293759512939
GIMAP1	17.0	0.00951293759512939
ADM	-2.0	-0.01826484018264829
CBLB	10.0	0.00951293759512939
MYOM2	10.0	0.00951293759512939
THBD	10.0	0.00951293759512939
RGS2	6.0	-0.004375951293759506
TRIM5	10.0	0.00951293759512939
C1QTNF7	11.0	0.00951293759512939
TIMP3	14.0	0.00951293759512939
CD36	17.0	0.00951293759512939
LRRFIP1	-3.0	-0.01826484018264829
SOX7	-1.0	-0.01826484018264829
EPHB1	-3.0	-0.01826484018264829
HSP90AA1	13.0	0.00951293759512939
SGIP1	18.0	0.00951293759512939
IFRD1	8.0	0.00951293759512939
ARHGEF16	8.0	0.00951293759512939
ARID5B	8.0	0.00951293759512939
ARMC8	-4.0	-0.01826484018264829
CBFA2T3	10.0	0.00951293759512939
ZDHHC14	13.0	0.00951293759512939
GEM	18.0	0.00951293759512939
DUSP6	5.0	-0.004375951293759506
TGFBR2	-2.0	-0.01826484018264829
MED23	-2.0	-0.01826484018264829
TBC1D1	12.0	0.00951293759512939
EMCN	18.0	0.00951293759512939
HEATR5A	7.0	0.00951293759512939
PALLD	-3.0	-0.01826484018264829
ST6GALNAC3	16.0	0.00951293759512939
LDAH	12.0	0.00951293759512939
KANK4	19.0	0.00951293759512939
KANK3	-1.0	-0.01826484018264829
KLK1	12.0	0.00951293759512939
NOTCH4	12.0	0.00951293759512939
FUT11	-2.0	-0.01826484018264829
PELI2	-4.0	-0.01826484018264829
CXCR4	-3.0	-0.01826484018264829
ZNF518A	9.0	0.00951293759512939
TMTC1	12.0	0.00951293759512939
ZBTB44	-1.0	-0.01826484018264829
NID2	-4.0	-0.01826484018264829
RNFT1	9.0	0.00951293759512939
ABLIM3	15.0	0.00951293759512939
GMDS	16.0	0.00951293759512939
TSPAN8	11.0	0.00951293759512939
NFIL3	-3.0	-0.01826484018264829
SH3BP5	0.0	-0.01826484018264829
SLC38A9	9.0	0.00951293759512939
CYYR1	14.0	0.00951293759512939
JAM2	13.0	0.00951293759512939
MPP3	9.0	0.00951293759512939
IL10RB	7.0	0.00951293759512939
CAVIN2	2.0	-0.004375951293759506
PDE4DIP	10.0	0.00951293759512939
CYP4B1	11.0	0.00951293759512939
KLF4	18.0	0.00951293759512939
SNCAIP	-2.0	-0.01826484018264829
KBTBD11	-3.0	-0.01826484018264829
SULF2	-2.0	-0.01826484018264829
VEGFA	0.0	-0.01826484018264829
SYT17	7.0	0.00951293759512939
PER2	17.0	0.00951293759512939
KITLG	9.0	0.00951293759512939
RCAN2	1.0	-0.004375951293759506
NOSTRIN	-1.0	-0.01826484018264829
TMCC2	0.0	-0.01826484018264829
CALM1	0.0	-0.01826484018264829
NECTIN3	8.0	0.00951293759512939
HSPA1A	9.0	0.00951293759512939
