Item ID	Item value	Change in Kuiper test statistic when item removed
PHF3	-1.0	-0.0375494071146244
PCDHGB7	11.0	0.007905138339921014
FZD2	-3.0	-0.0375494071146244
IL4R	4.0	-0.03376152832674573
ZMYND8	9.0	0.007905138339921014
SCHIP1	7.0	0.007905138339921014
NEDD4L	11.0	0.007905138339921014
HMGCR	10.0	0.007905138339920903
CHD1	20.0	0.05335968379446643
TRAM2	-2.0	-0.0375494071146244
AURKA	5.0	0.007905138339921014
THBD	10.0	0.007905138339920903
KLF7	12.0	0.049571805006587644
MT2A	-1.0	-0.0375494071146244
MFAP1	7.0	0.007905138339921014
NAV3	11.0	0.007905138339921014
TRAF4	6.0	0.007905138339921014
ID1	2.0	-0.037549407114624456
DDIT4	-1.0	-0.0375494071146244
ERF	5.0	0.007905138339921014
SACS	8.0	0.007905138339920903
BRD8	8.0	0.007905138339920903
TP63	18.0	0.05335968379446643
