Item ID	Item value	Change in Kuiper test statistic when item removed
CHIC2	13.0	-0.007927927927927902
TFRC	7.0	0.005585585585585695
SERPINE2	1.0	0.005585585585585584
ZMYND8	13.0	-0.007927927927927902
ADK	3.0	0.005585585585585584
SLC2A1	2.0	0.005585585585585584
MTR	2.0	0.005585585585585584
BRCA1	16.0	0.005585585585585695
AQP3	10.0	0.005585585585585584
NUDT3	15.0	-0.007927927927927791
HK2	3.0	0.005585585585585584
HS2ST1	4.0	0.005585585585585584
NUDT4	4.0	0.005585585585585584
ING2	2.0	0.005585585585585584
PSTPIP2	2.0	0.005585585585585584
UBTF	1.0	0.005585585585585584
UBXN8	15.0	-0.007927927927927791
ANXA7	4.0	0.005585585585585584
CD36	21.0	0.005585585585585695
RBM5	11.0	0.0055855855855856396
BNIP3L	4.0	0.005585585585585584
RBM14	14.0	-0.007927927927927902
LMO4	11.0	0.0055855855855856396
CAD	12.0	-0.007927927927927902
IFRD1	12.0	-0.007927927927927902
UBE2E1	24.0	0.005585585585585695
ACYP1	12.0	-0.007927927927927902
RAD23B	2.0	0.005585585585585584
FBXW2	3.0	0.005585585585585584
NIPSNAP2	2.0	0.005585585585585584
MINPP1	15.0	-0.007927927927927791
NME7	13.0	-0.007927927927927902
PEX6	14.0	-0.007927927927927902
CRY1	1.0	0.005585585585585584
HDGFL3	22.0	0.005585585585585695
PPID	12.0	-0.007927927927927902
FKBP5	20.0	0.005585585585585695
GCDH	12.0	-0.007927927927927902
ABCB6	14.0	-0.007927927927927902
CFH	22.0	0.005585585585585695
GOSR2	12.0	-0.007927927927927902
GMPR2	14.0	-0.007927927927927902
SLC43A1	12.0	-0.007927927927927902
HMGCR	14.0	-0.007927927927927902
CRIP1	6.0	0.005585585585585584
RNFT1	13.0	-0.007927927927927902
SOCS2	17.0	0.005585585585585695
HSPH1	13.0	-0.007927927927927902
GMDS	20.0	0.005585585585585695
ZKSCAN7	13.0	-0.007927927927927902
TBL1X	16.0	0.005585585585585695
BRD8	12.0	-0.007927927927927902
KCNN4	2.0	0.005585585585585584
NFE2	13.0	-0.007927927927927902
TGFB1	7.0	0.005585585585585695
NFYB	12.0	-0.007927927927927902
CYP51A1	18.0	0.005585585585585695
AKR1C3	14.0	-0.007927927927927902
PILRB	13.0	-0.007927927927927902
DHCR24	16.0	0.005585585585585695
FOXN3	2.0	0.005585585585585584
SUOX	9.0	0.005585585585585584
RAD50	12.0	-0.007927927927927902
TFCP2	15.0	-0.007927927927927791
TP53I3	12.0	-0.007927927927927902
MFAP1	11.0	0.0055855855855856396
POLE2	1.0	0.005585585585585584
CAPRIN1	1.0	0.005585585585585584
CTH	12.0	-0.007927927927927902
PDCD2	15.0	-0.007927927927927791
TUBGCP3	1.0	0.005585585585585584
PKIG	3.0	0.005585585585585584
CALM1	4.0	0.005585585585585584
C11ORF58	2.0	0.005585585585585584
PFKP	5.0	0.005585585585585584
