Item ID	Item value	Change in Kuiper test statistic when item removed
GINS2	12.0	0.011857707509881243
USP31	-2.0	-0.033596837944664226
KRT13	0.0	-0.03359683794466406
CTPS1	8.0	0.011857707509881354
BRCA1	12.0	0.011857707509881243
ECE2	8.0	0.011857707509881354
NAV2	11.0	0.011857707509881354
BCS1L	9.0	0.011857707509881354
PRSS23	-3.0	-0.033596837944664226
WDR46	7.0	0.011857707509881354
HSPD1	9.0	0.011857707509881354
SEC14L2	-1.0	-0.033596837944664226
BRIP1	-3.0	-0.033596837944664226
CXCL12	17.0	0.05731225296442671
TMEM104	7.0	0.011857707509881354
NMRK1	7.0	0.011857707509881354
POLE2	-3.0	-0.033596837944664226
MYB	0.0	-0.03359683794466406
NT5DC3	9.0	0.011857707509881354
SFXN2	10.0	0.011857707509881354
MAMLD1	0.0	-0.03359683794466406
NR2C2AP	8.0	0.011857707509881354
FKBP5	16.0	0.05731225296442671
