Item ID	Item value	Change in Kuiper test statistic when item removed
GCDH	8.0	0.00675675675675691
PKDCC	10.0	0.00675675675675691
SERPINE2	-3.0	-0.02102102102102088
CDCA4	20.0	0.03453453453453459
CETN3	8.0	0.00675675675675691
HGH1	9.0	0.00675675675675691
BRCA1	12.0	0.03453453453453459
CYP2C18	13.0	0.03453453453453459
RPGR	-3.0	-0.02102102102102088
AQP1	16.0	0.03453453453453459
PSMC3IP	10.0	0.00675675675675691
CSRP2	7.0	0.00675675675675691
CA2	11.0	0.006756756756756799
MYB	0.0	-0.02102102102102088
SMYD4	7.0	0.00675675675675691
KCNN4	-2.0	-0.02102102102102088
CRYM	0.0	-0.02102102102102088
SF3B1	-3.0	-0.02102102102102088
CCT5	6.0	-0.02102102102102088
FGFBP1	-3.0	-0.02102102102102088
RRM2	7.0	0.00675675675675691
NUP210	8.0	0.00675675675675691
PLA2G4A	8.0	0.00675675675675691
CYBRD1	10.0	0.00675675675675691
CTPS1	8.0	0.00675675675675691
POLA1	14.0	0.03453453453453459
RGCC	-3.0	-0.02102102102102088
KCNQ1	4.0	-0.02102102102102088
POLE2	-3.0	-0.02102102102102088
CAPRIN1	-3.0	-0.02102102102102088
TIMELESS	11.0	0.006756756756756799
BIRC5	0.0	-0.02102102102102088
EVL	11.0	0.006756756756756799
SRSF7	10.0	0.00675675675675691
PPID	8.0	0.00675675675675691
PFKP	1.0	-0.02102102102102088
ADA	10.0	0.00675675675675691
