Item ID	Item value	Change in Kuiper test statistic when item removed
GINS2	16.0	-0.014285714285714235
DCLRE1A	11.0	-0.014285714285714346
RRM2	11.0	-0.014285714285714346
ZRANB2	13.0	-0.014285714285714235
SPIN3	16.0	-0.014285714285714235
ARID5B	12.0	-0.014285714285714346
CTPS1	12.0	-0.014285714285714346
BRCA1	16.0	-0.014285714285714235
ACYP1	12.0	-0.014285714285714346
BRIP1	1.0	0.05714285714285705
NR4A3	10.0	0.027380952380952284
ADAMTS1	13.0	-0.014285714285714235
POLE2	1.0	0.05714285714285705
MYB	4.0	0.05714285714285705
RFXAP	11.0	-0.014285714285714346
