Item ID	Item value	Change in Kuiper test statistic when item removed
BCAR3	2.0	0.020625889046941737
PIF1	10.0	-0.006401137980085292
JPT1	13.0	-0.006401137980085292
DCLRE1C	13.0	-0.006401137980085292
PPP1R10	12.0	-0.006401137980085181
TNFAIP2	7.0	0.010490753911806594
TUBD1	11.0	-0.006401137980085292
NEDD4L	15.0	0.008238501659554365
ZNF518A	13.0	-0.006401137980085292
HMMR	10.0	-0.006401137980085292
HMGCR	14.0	-0.006401137980085292
LAMC1	3.0	0.020625889046941737
AURKA	9.0	0.010490753911806594
ZMYM1	12.0	-0.006401137980085181
CCNB1	10.0	-0.006401137980085292
PTTG1	5.0	0.020625889046941737
MAT2A	13.0	-0.006401137980085292
PLAU	7.0	0.010490753911806594
OIP5	14.0	-0.006401137980085292
BRD8	12.0	-0.006401137980085181
FAM83D	14.0	-0.006401137980085292
PKNOX1	13.0	-0.006401137980085292
GTSE1	4.0	0.020625889046941737
LDLR	14.0	-0.006401137980085292
CDR2	1.0	0.020625889046941737
ZNF267	24.0	0.020625889046941792
ATF7IP	16.0	0.020625889046941792
NFYB	12.0	-0.006401137980085181
CLK4	10.0	-0.006401137980085292
CDC25B	10.0	-0.006401137980085292
SAP30	8.0	0.010490753911806594
CABYR	17.0	0.020625889046941792
CKS2	11.0	-0.006401137980085292
BIRC5	4.0	0.020625889046941737
KIF2C	8.0	0.010490753911806594
DZIP3	15.0	0.008238501659554365
DCP2	11.0	-0.006401137980085292
BIRC3	13.0	-0.006401137980085292
