Item ID	Item value	Change in Kuiper test statistic when item removed
CD86	16.0	0.026827012025902097
CD83	8.0	0.005087881591119503
LUZP1	0.0	-0.016651248843663313
SCHIP1	7.0	0.005087881591119503
TNC	-2.0	-0.016651248843663313
SNX10	-3.0	-0.016651248843663313
CHD1	20.0	0.026827012025902097
IGSF9	8.0	0.005087881591119503
SOCS2	13.0	0.026827012025902097
SOCS3	4.0	-0.016651248843663313
DRAM1	10.0	0.005087881591119503
ADAP2	12.0	0.005087881591119503
NFIL3	-3.0	-0.016651248843663313
SERTAD1	7.0	0.005087881591119503
CA2	11.0	0.005087881591119503
PMEPA1	0.0	-0.016651248843663313
LRRFIP1	-3.0	-0.016651248843663313
UPP1	3.0	-0.016651248843663313
FILIP1L	9.0	0.005087881591119503
JUNB	5.0	-0.016651248843663147
IL33	11.0	0.005087881591119503
DUSP2	5.0	-0.016651248843663147
IL4R	4.0	-0.016651248843663313
FZD5	0.0	-0.016651248843663313
ANGPT1	17.0	0.026827012025902097
TNFRSF12A	4.0	-0.016651248843663313
SP110	10.0	0.005087881591119503
CAV1	11.0	0.005087881591119503
ARID5A	8.0	0.005087881591119503
PLA2G4A	8.0	0.005087881591119503
BFAR	7.0	0.005087881591119503
FANCC	9.0	0.005087881591119503
ARMC8	-4.0	-0.016651248843663313
TRAF1	11.0	0.005087881591119503
SLC39A14	11.0	0.005087881591119503
TBC1D1	12.0	0.005087881591119503
KLF7	12.0	0.005087881591119503
MINPP1	11.0	0.005087881591119503
CH25H	9.0	0.005087881591119503
MGAT4A	-1.0	-0.016651248843663313
CENPJ	8.0	0.005087881591119503
BCL3	3.0	-0.016651248843663313
ZYX	11.0	0.005087881591119503
MTFR2	19.0	0.026827012025902097
EZR	-3.0	-0.016651248843663313
DCP2	7.0	0.005087881591119503
FKBP5	16.0	0.026827012025902097
