Item ID	Item value	Change in Kuiper test statistic when item removed
BCAR3	2.0	0.009643483343074466
ERO1A	3.0	0.009643483343074466
JPT1	13.0	-0.003287551139684375
TRAF3IP3	3.0	0.009643483343074466
ITGB3	0.0	0.009643483343074466
TNC	2.0	0.009643483343074466
AQP3	10.0	-0.003287551139684375
GLS	24.0	0.00964348334307441
NUDT4	4.0	0.0096434833430743
THBD	14.0	-0.003287551139684375
PSTPIP1	15.0	-0.003287551139684375
SESN3	10.0	-0.003287551139684375
PLAU	7.0	0.009643483343074466
LAMP3	6.0	0.009643483343074466
TNFAIP8L2	13.0	-0.003287551139684375
PHLDA2	9.0	-4.1398792129332396E-4
TAPT1	11.0	-0.003287551139684375
ALG2	10.0	-0.003287551139684375
SLC39A11	1.0	0.009643483343074466
NSMCE1	15.0	-0.003287551139684375
ACSL3	12.0	-0.003287551139684375
TRAF1	15.0	-0.003287551139684375
MPEG1	13.0	-0.003287551139684375
DUSP6	9.0	-4.1398792129332396E-4
MINPP1	15.0	-0.003287551139684375
NME7	13.0	-0.003287551139684375
MT1F	4.0	0.0096434833430743
MET	13.0	-0.003287551139684375
WDFY4	15.0	-0.003287551139684375
MT1E	0.0	0.009643483343074466
FKBP5	20.0	0.013953828170660487
BIRC3	13.0	-0.003287551139684375
NEDD4L	15.0	-0.003287551139684375
TEX261	12.0	-0.003287551139684375
HNRNPLL	10.0	-0.003287551139684375
STYXL1	14.0	-0.003287551139684375
SOCS2	17.0	0.013953828170660487
SLX4	12.0	-0.003287551139684375
CLEC7A	1.0	0.009643483343074466
LRRC8C	0.0	0.009643483343074466
SH3BP5	4.0	0.0096434833430743
SLAMF8	14.0	-0.003287551139684375
NRIP3	11.0	-0.003287551139684375
KCNN4	2.0	0.009643483343074466
ST3GAL2	10.0	-0.003287551139684375
CBR3	9.0	-4.1398792129332396E-4
RHBDD2	3.0	0.009643483343074466
FN1	23.0	0.013953828170660487
AKR1C3	14.0	-0.003287551139684375
RAB27A	14.0	-0.003287551139684375
FOXN3	2.0	0.009643483343074466
SULF2	2.0	0.009643483343074466
SYT17	11.0	-0.003287551139684375
RGCC	1.0	0.009643483343074466
NR4A3	10.0	-0.003287551139684375
ZYX	15.0	-0.003287551139684375
CALM1	4.0	0.0096434833430743
MAP3K13	4.0	0.0096434833430743
CCL26	16.0	0.013953828170660487
