Item ID	Item value	Change in Kuiper test statistic when item removed
CD86	20.0	0.026436781609195603
SLC35B3	12.0	-0.008045977011494121
TFRC	7.0	0.026436781609195492
CSTF2	10.0	-8.620689655172153E-4
RBM4	13.0	-0.008045977011494121
BCLAF1	23.0	0.026436781609195603
CCNB1	10.0	-8.620689655172153E-4
HSPH1	13.0	-0.008045977011494121
FPGT	13.0	-0.008045977011494121
CASP1	17.0	0.026436781609195603
OIP5	14.0	-0.00804597701149401
TAF9B	16.0	0.006321839080459912
EIF2B4	11.0	-0.008045977011494121
TRMT10A	12.0	-0.008045977011494121
RBM14	14.0	-0.00804597701149401
RRM2	11.0	-0.008045977011494121
SDF2L1	16.0	0.006321839080459912
HSPA5	1.0	0.026436781609195492
CEP152	13.0	-0.008045977011494121
NAV2	15.0	0.006321839080459912
ZDHHC16	13.0	-0.008045977011494121
AP4B1	14.0	-0.00804597701149401
APTX	13.0	-0.008045977011494121
WDR77	13.0	-0.008045977011494121
DNAJA1	12.0	-0.008045977011494121
PALLD	1.0	0.026436781609195492
POLE2	1.0	0.026436781609195492
GEMIN6	12.0	-0.008045977011494121
MET	13.0	-0.008045977011494121
HSPA1A	13.0	-0.008045977011494121
