Item ID	Item value	Change in Kuiper test statistic when item removed
PHF3	-1.0	-0.006387921022066978
BCAR3	-2.0	-0.006387921022067422
SLC20A2	-3.0	-0.006387921022067422
COL13A1	2.0	-0.006387921022066978
RRAD	8.0	-0.0063879210220672
SATB2	12.0	0.018002322880371624
SCHIP1	7.0	-0.006387921022067422
ZMYND8	9.0	-0.0063879210220672
SAT1	8.0	-0.0063879210220672
CHD1	20.0	0.025116144018582975
AURKA	5.0	-0.006387921022067422
CCNB1	6.0	-0.006387921022067422
MAT2A	9.0	-0.0063879210220672
NFIL3	-3.0	-0.006387921022067422
UBTF	-3.0	-0.006387921022067422
TBL1X	12.0	0.018002322880371624
BRD8	8.0	-0.0063879210220672
FILIP1L	9.0	-0.0063879210220672
CDR2	-3.0	-0.006387921022067422
RBM5	7.0	-0.006387921022067422
PDGFRA	13.0	0.018002322880371624
FZD2	-3.0	-0.006387921022067422
IL4R	4.0	-0.006387921022067422
ZHX3	20.0	0.025116144018582975
AUTS2	-2.0	-0.006387921022067422
NFYA	8.0	-0.0063879210220672
NFYB	8.0	-0.0063879210220672
DUSP1	17.0	0.018002322880371624
BDNF	-2.0	-0.006387921022067422
ARID5B	8.0	-0.0063879210220672
GEM	18.0	0.018002322880371624
NIPSNAP2	-2.0	-0.006387921022067422
CXCL12	17.0	0.018002322880371624
MFAP1	7.0	-0.006387921022067422
NAV3	11.0	0.018002322880371624
POLE2	-3.0	-0.006387921022067422
ID1	2.0	-0.006387921022066978
DDIT4	-1.0	-0.006387921022066978
CKS2	7.0	-0.006387921022067422
TUBGCP3	-3.0	-0.006387921022067422
MET	9.0	-0.0063879210220672
ATF3	8.0	-0.0063879210220672
