Item ID	Item value	Change in Kuiper test statistic when item removed
CNTNAP3	2.0	0.007518796992481203
CD83	12.0	-0.005639097744361055
TRAF3IP3	3.0	0.007518796992481203
BMPR2	0.0	0.007518796992481203
LEAP2	10.0	-0.005639097744361055
CEP19	10.0	-0.005639097744361055
SNX10	1.0	0.007518796992481203
BRCA1	16.0	-0.005639097744360944
PRSS23	1.0	0.007518796992481203
RCBTB2	13.0	-0.005639097744360944
THBD	14.0	-0.005639097744360944
MFSD13A	16.0	-0.005639097744360944
EPM2AIP1	11.0	-0.005639097744361055
C1QTNF3	20.0	0.007518796992481203
ZMYM1	12.0	-0.005639097744361055
OPA1	2.0	0.007518796992481203
PLAU	7.0	0.007518796992481203
MYB	4.0	0.007518796992481203
ZNF449	10.0	-0.005639097744361055
TRIM68	12.0	-0.005639097744361055
FBXO4	2.0	0.007518796992481203
NEK1	14.0	-0.005639097744360944
ZNF248	12.0	-0.005639097744361055
LRRFIP1	1.0	0.007518796992481203
BBS7	20.0	0.007518796992481203
UPP1	7.0	0.007518796992481203
ZNF641	11.0	-0.005639097744361055
BIVM	12.0	-0.005639097744361055
IFRD1	12.0	-0.005639097744361055
ANO6	4.0	0.007518796992481203
OVOL1	10.0	-0.005639097744361055
FBXW2	3.0	0.007518796992481203
SAP30	8.0	0.007518796992481036
MOSMO	11.0	-0.005639097744361055
MT1F	4.0	0.007518796992481203
KCTD15	13.0	-0.005639097744360944
PIF1	10.0	-0.005639097744361055
HCN3	13.0	-0.005639097744360944
RNASEL	13.0	-0.005639097744360944
CDCA4	24.0	0.007518796992481203
SATB2	16.0	-0.005639097744360944
FUT11	2.0	0.007518796992481203
ZDHHC23	14.0	-0.005639097744360944
COPS7A	11.0	-0.005639097744361055
HMMR	10.0	-0.005639097744361055
NREP	17.0	0.007518796992481203
PRIMPOL	12.0	-0.005639097744361055
MIPOL1	20.0	0.007518796992481203
ERICH5	14.0	-0.005639097744360944
PSMC3IP	14.0	-0.005639097744360944
WDCP	11.0	-0.005639097744361055
BRIP1	1.0	0.007518796992481203
SERTAD4	5.0	0.007518796992481203
LRRC8C	0.0	0.007518796992481203
HAS3	10.0	-0.005639097744361055
ZNF701	11.0	-0.005639097744361055
TBL1X	16.0	-0.005639097744360944
FAM83D	14.0	-0.005639097744360944
TAF9B	16.0	-0.005639097744360944
ZSWIM3	11.0	-0.005639097744361055
FAM120AOS	14.0	-0.005639097744360944
EGR1	8.0	0.007518796992481036
NFYA	12.0	-0.005639097744361055
ATAD5	0.0	0.007518796992481203
CCDC14	15.0	-0.005639097744360944
MCAM	3.0	0.007518796992481203
IRX4	6.0	0.007518796992481203
FBXO36	2.0	0.007518796992481203
RAB27A	14.0	-0.005639097744360944
DHCR24	16.0	-0.005639097744360944
PPP2R3B	15.0	-0.005639097744360944
KBTBD11	1.0	0.007518796992481203
CTH	12.0	-0.005639097744361055
ID1	6.0	0.007518796992481203
LHFPL6	23.0	0.007518796992481203
TUBGCP3	1.0	0.007518796992481203
DNAL1	15.0	-0.005639097744360944
