Item ID	Item value	Change in Kuiper test statistic when item removed
DOCK4	16.0	-0.004061624649860041
SAMD9L	13.0	-0.0040616246498599295
PIGO	13.0	-0.0040616246498599295
TNFAIP6	22.0	0.007843137254901933
CNRIP1	22.0	0.007843137254901933
ZMYND8	13.0	-0.0040616246498599295
MPI	11.0	-0.0040616246498599295
CIB1	8.0	0.007843137254901988
BRCA1	16.0	-0.004061624649860041
SAT1	12.0	-0.0040616246498599295
THTPA	14.0	-0.0040616246498599295
LGALS2	3.0	0.007843137254901988
DBP	13.0	-0.0040616246498599295
SESN3	10.0	0.007843137254901988
CTSK	1.0	0.007843137254901988
DPYSL3	3.0	0.007843137254901988
UBXN8	15.0	-0.0040616246498599295
TIMP3	18.0	0.007843137254901933
PLEKHN1	15.0	-0.0040616246498599295
RBM5	11.0	-0.0040616246498599295
TMEM8B	15.0	-0.0040616246498599295
PDK1	3.0	0.007843137254901988
CERS4	12.0	-0.0040616246498599295
BNIP3L	4.0	0.007843137254901988
SLC13A4	14.0	-0.0040616246498599295
ABCC5	13.0	-0.0040616246498599295
NAV1	1.0	0.007843137254901988
NAV2	15.0	-0.0040616246498599295
KCTD4	14.0	-0.0040616246498599295
TMEM80	14.0	-0.0040616246498599295
ZDHHC14	17.0	0.0018907563025210017
DNM3	19.0	0.007843137254901933
CYP39A1	12.0	-0.0040616246498599295
MAF	0.0	0.007843137254901988
NAV3	15.0	-0.0040616246498599295
KATNAL2	15.0	-0.0040616246498599295
RFX5	12.0	-0.0040616246498599295
TYRO3	15.0	-0.0040616246498599295
ZSCAN26	12.0	-0.0040616246498599295
CRELD1	14.0	-0.0040616246498599295
TCTA	12.0	-0.0040616246498599295
EZR	1.0	0.007843137254901988
PHLDB2	10.0	0.007843137254901988
ASPA	14.0	-0.0040616246498599295
ATF3	12.0	-0.0040616246498599295
RTN2	14.0	-0.0040616246498599295
SAMD5	16.0	-0.004061624649860041
HDAC5	12.0	-0.0040616246498599295
RNASEL	13.0	-0.0040616246498599295
TMEM63A	13.0	-0.0040616246498599295
PPM1L	1.0	0.007843137254901988
ABHD3	14.0	-0.0040616246498599295
NEDD4L	15.0	-0.0040616246498599295
LRP4	4.0	0.007843137254901988
UBFD1	13.0	-0.0040616246498599295
NREP	17.0	0.0018907563025210017
FBXO44	12.0	-0.0040616246498599295
AGPAT4	1.0	0.007843137254901988
SOCS3	8.0	0.007843137254901988
FLRT2	13.0	-0.0040616246498599295
CLMN	3.0	0.007843137254901988
GNG7	19.0	0.007843137254901933
LRRC8C	0.0	0.007843137254901988
IGFBP7	22.0	0.007843137254901933
TAF9B	16.0	-0.004061624649860041
JAM2	17.0	0.0018907563025210017
CYP2J2	17.0	0.0018907563025210017
SPECC1	2.0	0.007843137254901988
SNAPIN	12.0	-0.0040616246498599295
PLEKHA1	3.0	0.007843137254901988
NAGA	14.0	-0.0040616246498599295
BCDIN3D	11.0	-0.0040616246498599295
BFAR	11.0	-0.0040616246498599295
IFFO1	12.0	-0.0040616246498599295
HS3ST1	6.0	0.007843137254901988
DBNDD2	14.0	-0.0040616246498599295
TMCO6	12.0	-0.0040616246498599295
PER3	15.0	-0.0040616246498599295
CDK5	14.0	-0.0040616246498599295
LHFPL6	23.0	0.007843137254901933
NDUFAF3	15.0	-0.0040616246498599295
TMCC2	4.0	0.007843137254901988
COQ8B	11.0	-0.0040616246498599295
PKIG	3.0	0.007843137254901988
RECK	15.0	-0.0040616246498599295
