Item ID	Item value	Change in Kuiper test statistic when item removed
CYP2J2	13.0	0.05833333333333335
EGR1	4.0	-0.04166666666666663
FGFBP1	-3.0	-0.04166666666666663
SERPINE2	-3.0	-0.04166666666666663
EYA2	8.0	-0.016666666666666663
HMMR	6.0	-0.04166666666666663
KLF4	18.0	0.08333333333333337
AP2A2	10.0	0.016666666666666607
HS3ST1	2.0	-0.04166666666666663
DBP	9.0	0.008333333333333304
CASP4	10.0	0.016666666666666607
ANXA7	0.0	-0.04166666666666663
PDCD2	11.0	0.01666666666666672
PRKACB	0.0	-0.04166666666666663
PIGF	10.0	0.016666666666666607
CFTR	12.0	0.03333333333333344
