Item ID	Item value	Change in Kuiper test statistic when item removed
RTP4	1.0	-0.004244694132334581
LMBR1L	23.0	-0.004244694132334581
JPT1	1.0	-0.004244694132334581
SLC27A1	3.0	0.006991260923845
SERPINE2	13.0	0.006991260923845222
CITED4	7.0	0.006991260923845222
TFCP2L1	11.0	0.006991260923845222
ENO2	17.0	0.006991260923845222
AQP1	8.0	0.006991260923845222
OASL	21.0	4.3695380774028125E-4
RAB43	14.0	0.006991260923845222
FLCN	22.0	-0.002840199750312078
EPM2AIP1	23.0	-0.004244694132334581
RBM4	1.0	-0.004244694132334581
PSTPIP1	3.0	0.006991260923845
SPR	1.0	-0.004244694132334581
TRIM5	2.0	-0.004244694132334581
PSTPIP2	14.0	0.006991260923845222
ZMIZ2	1.0	-0.004244694132334581
NMRK1	23.0	-0.004244694132334581
PDK4	5.0	0.006991260923845222
UPP1	19.0	0.006991260923845222
PHLDA2	21.0	4.3695380774028125E-4
GTSE1	16.0	0.006991260923845222
JUNB	21.0	4.3695380774028125E-4
IL4R	20.0	0.0037141073657927515
STARD5	2.0	-0.004244694132334581
DESI1	3.0	0.006991260923845
PHYKPL	4.0	0.006991260923845
SP110	2.0	-0.004244694132334581
LMO4	23.0	-0.004244694132334581
ANGEL1	1.0	-0.004244694132334581
UBE2E1	12.0	0.006991260923845222
PLPBP	2.0	-0.004244694132334581
ARMC7	23.0	-0.004244694132334581
AMPD2	23.0	-0.004244694132334581
DUSP6	21.0	4.3695380774028125E-4
GEM	10.0	0.006991260923845222
SAP30	20.0	0.0037141073657927515
PDRG1	22.0	-0.002840199750312078
TBC1D1	4.0	0.006991260923845
ELF3	16.0	0.006991260923845222
PEX6	2.0	-0.004244694132334581
IRF7	0.0	-0.004244694132334581
MTFR2	11.0	0.006991260923845222
PIGF	2.0	-0.004244694132334581
ATF3	24.0	-0.004244694132334581
GCDH	0.0	-0.004244694132334581
LRRC56	2.0	-0.004244694132334581
PKDCC	2.0	-0.004244694132334581
C1S	12.0	0.006991260923845222
CRIP2	16.0	0.006991260923845222
ADRB2	4.0	0.006991260923845
USP18	24.0	-0.004244694132334581
ARNTL	16.0	0.006991260923845222
RXRB	23.0	-0.004244694132334581
PSMC3IP	2.0	-0.004244694132334581
HSD11B2	15.0	0.006991260923845222
BCL2L11	24.0	-0.004244694132334581
EFNB3	20.0	0.0037141073657927515
DRAM1	2.0	-0.004244694132334581
NT5DC3	1.0	-0.004244694132334581
CCL2	24.0	-0.004244694132334581
NPTX1	2.0	-0.004244694132334581
CDR2	13.0	0.006991260923845222
ST3GAL2	22.0	-0.002840199750312078
EGR1	20.0	0.0037141073657927515
FZD5	16.0	0.006991260923845222
NFYB	0.0	-0.004244694132334581
CYHR1	2.0	-0.004244694132334581
PDE4DIP	2.0	-0.004244694132334581
DDIT4L	2.0	-0.004244694132334581
LRWD1	23.0	-0.004244694132334581
KIAA2013	14.0	0.006991260923845222
VEGFA	16.0	0.006991260923845222
DNAJC18	24.0	-0.004244694132334581
DNAJA1	24.0	-0.004244694132334581
ALDH4A1	5.0	0.006991260923845222
CABYR	5.0	0.006991260923845222
SLC6A8	19.0	0.006991260923845222
RGCC	13.0	0.006991260923845222
NMNAT1	23.0	-0.004244694132334581
GKAP1	1.0	-0.004244694132334581
UBE2T	24.0	-0.004244694132334581
CD207	2.0	-0.004244694132334581
NABP1	1.0	-0.004244694132334581
TMCC2	16.0	0.006991260923845222
NFKBIE	22.0	-0.002840199750312078
MXD3	11.0	0.006991260923845222
ADA	2.0	-0.004244694132334581
