Item ID	Item value	Change in Kuiper test statistic when item removed
DPAGT1	13.0	-0.005086071987480734
EIF4A2	14.0	-0.005086071987480734
PIGO	13.0	-0.005086071987480734
TFRC	7.0	0.008998435054772769
CETN3	12.0	-0.005086071987480734
PIGP	14.0	-0.005086071987480734
MED16	13.0	-0.005086071987480734
KRI1	11.0	-0.005086071987480734
SH3RF1	0.0	0.008998435054772824
TMEM186	11.0	-0.005086071987480734
TIMP3	18.0	0.008998435054772769
IER3	8.0	0.008998435054772769
PDGFRA	17.0	0.008411580594679002
BNIP3L	4.0	0.008998435054772769
METTL1	13.0	-0.005086071987480734
PHYKPL	16.0	0.007824726134585125
IFRD2	14.0	-0.005086071987480734
NSMCE1	15.0	-0.005086071987480734
SLC39A11	1.0	0.008998435054772824
WDR75	1.0	0.008998435054772824
BCS1L	13.0	-0.005086071987480734
VRK3	12.0	-0.005086071987480734
RAD23B	2.0	0.008998435054772824
FBXW2	3.0	0.008998435054772824
WDR77	13.0	-0.005086071987480734
NT5C3B	13.0	-0.005086071987480734
MINPP1	15.0	-0.005086071987480734
GORASP2	2.0	0.008998435054772824
C1QTNF12	2.0	0.008998435054772824
TIMELESS	15.0	-0.005086071987480734
GEMIN6	12.0	-0.005086071987480734
ROR1	20.0	0.008998435054772769
RCCD1	12.0	-0.005086071987480734
SRSF7	14.0	-0.005086071987480734
FJX1	2.0	0.008998435054772824
XPR1	14.0	-0.005086071987480734
NOTCH4	16.0	0.007824726134585125
CSTF2	10.0	0.008998435054772769
COPS7A	11.0	-0.005086071987480734
DTX3	7.0	0.008998435054772769
CYP2C18	17.0	0.008411580594679002
KRCC1	13.0	-0.005086071987480734
NKD2	15.0	-0.005086071987480734
SOCS2	17.0	0.008411580594679002
EXOSC7	4.0	0.008998435054772769
BCLAF1	23.0	0.008998435054772769
HNRNPDL	1.0	0.008998435054772824
STAMBPL1	5.0	0.008998435054772824
LRRC8C	0.0	0.008998435054772824
RCE1	15.0	-0.005086071987480734
BRD8	12.0	-0.005086071987480734
LDLR	14.0	-0.005086071987480734
TRMT1L	13.0	-0.005086071987480734
ZBED3	2.0	0.008998435054772824
ZNF142	12.0	-0.005086071987480734
SNAPIN	12.0	-0.005086071987480734
RAB4B	13.0	-0.005086071987480734
NICN1	14.0	-0.005086071987480734
CEP152	13.0	-0.005086071987480734
ADAT1	11.0	-0.005086071987480734
DHCR24	16.0	0.007824726134585125
SUOX	9.0	0.008998435054772769
COQ5	13.0	-0.005086071987480734
DHODH	13.0	-0.005086071987480734
TTC8	1.0	0.008998435054772824
KITLG	13.0	-0.005086071987480734
GPAM	12.0	-0.005086071987480734
CAPRIN1	1.0	0.008998435054772824
BCL3	7.0	0.008998435054772769
CXORF38	2.0	0.008998435054772824
INTS7	13.0	-0.005086071987480734
EEF1AKMT1	14.0	-0.005086071987480734
