Item ID	Item value	Change in Kuiper test statistic when item removed
BCAR3	2.0	0.01686909581646434
HDAC5	12.0	-0.00944669365721984
STOML1	12.0	-0.00944669365721984
SLC24A3	1.0	0.01686909581646434
SLC38A10	14.0	-0.00944669365721984
TEX261	12.0	-0.00944669365721984
TRAM2	2.0	0.01686909581646434
ACTG1	16.0	-0.00944669365721984
CASP9	14.0	-0.00944669365721984
HELB	11.0	-0.00944669365721984
ADAMTS14	9.0	0.01686909581646434
HSPH1	13.0	-0.00944669365721984
OPA1	2.0	0.01686909581646434
MAT2A	13.0	-0.00944669365721984
EFHD2	3.0	0.01686909581646434
SACS	12.0	-0.00944669365721984
DPH5	14.0	-0.00944669365721984
SLC38A9	13.0	-0.00944669365721984
FAM83D	14.0	-0.00944669365721984
CDON	1.0	0.01686909581646434
UBL7	13.0	-0.00944669365721984
ATF7IP	16.0	-0.00944669365721984
GINS2	16.0	-0.00944669365721984
IL4R	8.0	0.01686909581646434
AUTS2	2.0	0.01686909581646434
EYA2	12.0	-0.00944669365721984
NSMCE1	15.0	-0.00944669365721984
BFAR	11.0	-0.00944669365721984
ACYP1	12.0	-0.00944669365721984
IL17RD	15.0	-0.00944669365721984
RAD23B	2.0	0.01686909581646434
THAP1	12.0	-0.00944669365721984
SULF2	2.0	0.01686909581646434
RAD51B	21.0	0.01686909581646434
RNF145	4.0	0.01686909581646434
BTD	15.0	-0.00944669365721984
ATF3	12.0	-0.00944669365721984
KANK4	23.0	0.01686909581646434
DCP2	11.0	-0.00944669365721984
