Item ID	Item value	Change in Kuiper test statistic when item removed
L3MBTL1	9.0	-0.0011614401858303092
HDAC5	8.0	-0.0011614401858303092
ZNF395	-2.0	-0.0011614401858303092
PELI2	-4.0	-0.025551684088269355
TNC	-2.0	-0.0011614401858303092
SLC38A10	10.0	-0.0011614401858303092
LAMC2	0.0	-0.0011614401858303092
SAT1	8.0	-0.0011614401858303092
AQP3	6.0	-0.0011614401858303092
KRCC1	9.0	-0.0011614401858303092
NPAS2	1.0	-0.0011614401858303092
AGPAT4	-3.0	-0.018437862950058004
SOCS2	13.0	0.016114982578397274
SEC14L2	-1.0	-0.0011614401858303092
PSMC3IP	10.0	-0.0011614401858303092
FUT8	11.0	0.0018873403019743495
ADAMTS1	9.0	-0.0011614401858303092
PLAU	3.0	-0.0011614401858303092
CASP1	13.0	0.016114982578397274
CCL2	8.0	-0.0011614401858303092
PMEPA1	0.0	-0.0011614401858303092
IGFBP7	18.0	0.023228803716608737
KCNN4	-2.0	-0.0011614401858303092
MPZL2	7.0	-0.0011614401858303092
TMEM8B	11.0	0.0018873403019743495
FANCI	-2.0	-0.0011614401858303092
TGFB1	3.0	-0.0011614401858303092
BDNF	-2.0	-0.0011614401858303092
ITGA3	5.0	-0.0011614401858303092
DUSP1	17.0	0.023228803716608737
AKR1C3	10.0	-0.0011614401858303092
FN1	19.0	0.023228803716608737
TRPV2	9.0	-0.0011614401858303092
NSUN7	-2.0	-0.0011614401858303092
TUBG2	5.0	-0.0011614401858303092
COQ5	9.0	-0.0011614401858303092
KLF7	12.0	0.009001161440185812
RGCC	-3.0	-0.018437862950058004
RCAN2	1.0	-0.0011614401858303092
S100P	1.0	-0.0011614401858303092
ZMYND12	10.0	-0.0011614401858303092
CCL26	12.0	0.009001161440185812
