Item ID	Item value	Change in Kuiper test statistic when item removed
DOCK4	12.0	0.03440860215053776
SERPINE2	-3.0	-0.03225806451612889
CFH	18.0	0.03440860215053776
C1S	-4.0	-0.03225806451612889
C1R	19.0	0.03440860215053776
NEDD4L	11.0	0.0010752688172044333
GLRX	9.0	0.0010752688172044333
SAT1	8.0	0.0010752688172044333
SOCS3	4.0	-0.00725806451612887
ZMYM1	8.0	0.0010752688172044333
RGS2	6.0	-0.00725806451612887
FUT8	11.0	0.0010752688172044333
PLAU	3.0	-0.007258064516128926
LAMP3	2.0	-0.03225806451612889
CASP4	10.0	0.0010752688172044333
ANXA7	0.0	-0.03225806451612889
UPP1	3.0	-0.007258064516128926
JUNB	5.0	-0.00725806451612887
DUSP1	17.0	0.03440860215053776
IFRD1	8.0	0.0010752688172044333
ACSL3	8.0	0.0010752688172044333
KLF2	9.0	0.0010752688172044333
VEGFA	0.0	-0.03225806451612889
RNF41	-3.0	-0.03225806451612889
TRAF4	6.0	-0.00725806451612887
SLCO4A1	11.0	0.0010752688172044333
BCL3	3.0	-0.007258064516128926
CFHR3	18.0	0.03440860215053776
IRF7	8.0	0.0010752688172044333
EVL	11.0	0.0010752688172044333
NIT1	10.0	0.0010752688172044333
