Item ID	Item value	Change in Kuiper test statistic when item removed
CYP2J2	13.0	-0.0032679738562091942
ORM1	6.0	0.055555555555555525
NNMT	17.0	-0.0032679738562091942
CFH	18.0	-0.0032679738562091942
C1S	-4.0	-0.0032679738562091942
C1R	19.0	-0.0032679738562091942
RARRES2	19.0	-0.0032679738562091942
SORD	18.0	-0.0032679738562091942
HP	14.0	-0.0032679738562091942
DHCR24	12.0	-0.0032679738562091942
SLC39A14	11.0	-0.0032679738562091942
CYP2C18	13.0	-0.0032679738562091942
HPX	20.0	-0.0032679738562091942
RBM4	9.0	0.021241830065359457
C5	11.0	-0.0032679738562091942
AZGP1	9.0	0.021241830065359457
AADAC	12.0	-0.0032679738562091942
HMGCS2	13.0	-0.0032679738562091942
