Item ID	Item value	Change in Kuiper test statistic when item removed
SPECC1	-2.0	-0.050000000000000044
BNIP3L	0.0	-0.050000000000000044
IL33	11.0	0.016666666666666607
C1S	-4.0	-0.050000000000000044
ABCB6	10.0	0.016666666666666607
C3ORF62	18.0	0.06666666666666654
AP2A2	10.0	0.016666666666666607
NUDT4	0.0	-0.050000000000000044
RAB43	-2.0	-0.050000000000000044
TSPAN8	11.0	0.016666666666666607
RAB24	9.0	0.016666666666666607
TMCC2	0.0	-0.050000000000000044
PLCB1	18.0	0.06666666666666654
TAPT1	7.0	0.016666666666666607
CDR2	-3.0	-0.050000000000000044
RAB11FIP4	20.0	0.08333333333333326
