Item ID	Item value	Change in Kuiper test statistic when item removed
MUS81	13.0	-0.013846153846154063
DCLRE1A	11.0	-0.012179487179487358
DCLRE1C	13.0	-0.013846153846154063
OGG1	13.0	-0.013846153846154063
CIB1	8.0	0.026153846153845972
BRCA1	16.0	0.02615384615384586
NUDT3	15.0	-0.01217948717948747
BRIP1	1.0	0.026153846153845972
RECQL5	14.0	-0.013846153846154174
PTTG1	5.0	0.026153846153845972
TP53BP1	15.0	-0.01217948717948747
RRM2	11.0	-0.012179487179487358
FANCL	14.0	-0.013846153846154174
FANCC	13.0	-0.013846153846154063
APTX	13.0	-0.013846153846154063
RAD23B	2.0	0.026153846153845972
SMUG1	14.0	-0.013846153846154174
RAD52	12.0	-0.013846153846154063
RAD51B	21.0	0.02615384615384586
POLA1	18.0	0.02615384615384586
RAD51D	13.0	-0.013846153846154063
RAD50	12.0	-0.013846153846154063
TP53I3	12.0	-0.013846153846154063
POLE2	1.0	0.026153846153845972
CRY1	1.0	0.026153846153845972
NEIL1	13.0	-0.013846153846154063
