Item ID	Item value	Change in Kuiper test statistic when item removed
EIF4A2	14.0	-0.0016650016650017196
BCAR3	2.0	-0.0016650016650017196
CNTNAP3	2.0	-0.0016650016650017196
BMPR2	0.0	-0.0016650016650017196
MAML2	21.0	0.011322011322011272
WWC1	16.0	0.011322011322011272
ZMYND8	13.0	-0.0016650016650017196
ADK	3.0	-0.0016650016650017196
TNC	2.0	-0.0016650016650017196
LAMC2	4.0	-0.0016650016650017196
ADM	2.0	-0.0016650016650017196
LAMC1	3.0	-0.0016650016650017196
SAT1	12.0	-0.0016650016650017196
PRSS23	1.0	-0.0016650016650017196
SH3RF1	0.0	-0.0016650016650017196
GLS	24.0	-0.0016650016650017196
FAM107B	2.0	-0.0016650016650017196
SDR16C5	13.0	-0.0016650016650017196
THBD	14.0	-0.0016650016650017196
MT2A	3.0	-0.0016650016650017196
PLAU	7.0	-0.0016650016650017196
CASP1	17.0	0.011322011322011272
PMEPA1	4.0	-0.0016650016650017196
UPP1	7.0	-0.0016650016650017196
PHLDA2	9.0	-0.0016650016650017196
JUNB	9.0	-0.0016650016650017196
IER3	8.0	-0.0016650016650017196
IL4R	8.0	-0.0016650016650017196
SYK	12.0	-0.0016650016650017196
TNFRSF12A	8.0	-0.0016650016650017196
NSUN5	13.0	-0.0016650016650017196
SLX4IP	13.0	-0.0016650016650017196
IGFBP3	21.0	0.011322011322011272
IFRD1	12.0	-0.0016650016650017196
KCTD1	14.0	-0.0016650016650017196
CTPS1	12.0	-0.0016650016650017196
ACYP1	12.0	-0.0016650016650017196
OVOL1	10.0	-0.0016650016650017196
TMEM80	14.0	-0.0016650016650017196
DUSP6	9.0	-0.0016650016650017196
NME7	13.0	-0.0016650016650017196
HNRNPH3	16.0	0.011322011322011272
MET	13.0	-0.0016650016650017196
PHLDB2	10.0	-0.0016650016650017196
ATF3	12.0	-0.0016650016650017196
KDM3A	4.0	-0.0016650016650017196
KRT80	13.0	-0.0016650016650017196
MTFP1	7.0	-0.0016650016650017196
ABCB6	14.0	-0.0016650016650017196
CDCA4	24.0	-0.0016650016650017196
NEDD4L	15.0	0.011322011322011272
PRDM10	17.0	0.011322011322011272
FGD2	24.0	-0.0016650016650017196
RXRB	11.0	-0.0016650016650017196
SEC14L2	3.0	-0.0016650016650017196
LIMA1	11.0	-0.0016650016650017196
BCL2L11	12.0	-0.0016650016650017196
SERTAD4	5.0	-0.0016650016650017196
NFIL3	1.0	-0.0016650016650017196
NHS	18.0	0.011322011322011272
CCL2	12.0	-0.0016650016650017196
MPZL2	11.0	-0.0016650016650017196
SPECC1	2.0	-0.0016650016650017196
ZNF143	14.0	-0.0016650016650017196
HSPA5	1.0	-0.0016650016650017196
PLEKHA1	3.0	-0.0016650016650017196
CAV1	15.0	0.011322011322011272
IRX4	6.0	-0.0016650016650017196
KRT13	4.0	-0.0016650016650017196
KNOP1	13.0	-0.0016650016650017196
AP4B1	14.0	-0.0016650016650017196
SULF2	2.0	-0.0016650016650017196
KLF7	16.0	0.011322011322011272
CDK5	14.0	-0.0016650016650017196
COL7A1	12.0	-0.0016650016650017196
ID1	6.0	-0.0016650016650017196
INTS7	13.0	-0.0016650016650017196
ZNF335	12.0	-0.0016650016650017196
