Item ID	Item value	Change in Kuiper test statistic when item removed
JPT1	13.0	-0.004627766599597516
ZNF692	14.0	-0.004627766599597516
GALNT14	16.0	-0.004627766599597627
TRAF3IP3	3.0	0.009657947686116775
TFRC	7.0	0.009657947686116775
RFESD	12.0	-0.004627766599597516
JPT2	14.0	-0.004627766599597516
MPI	11.0	-0.004627766599597516
RRP1	8.0	0.009657947686116775
TNFAIP2	7.0	0.009657947686116775
SLC2A1	2.0	0.009657947686116775
WDR46	11.0	-0.004627766599597516
NUDT4	4.0	0.009657947686116775
SESN3	10.0	-0.004627766599597516
ZSCAN31	14.0	-0.004627766599597516
CA2	15.0	-0.004627766599597516
MYB	4.0	0.009657947686116775
SACS	12.0	-0.004627766599597516
CTSG	20.0	0.009657947686116719
TNFAIP8L2	13.0	-0.004627766599597516
PHLDA2	9.0	0.009657947686116775
NEFH	20.0	0.009657947686116719
ZNF641	11.0	-0.004627766599597516
BNIP3L	4.0	0.009657947686116775
HSP90AA1	17.0	0.008467471495640644
TIGD7	10.0	-0.004627766599597516
IPMK	1.0	0.009657947686116775
PLA2G4A	12.0	-0.004627766599597516
SLC39A10	15.0	-0.004627766599597516
ZDHHC11	4.0	0.009657947686116775
MTURN	17.0	0.008467471495640644
WDR77	13.0	-0.004627766599597516
SLC5A6	13.0	-0.004627766599597516
TBC1D1	16.0	-0.004627766599597627
MOB3C	10.0	-0.004627766599597516
SNHG12	12.0	-0.004627766599597516
CKS2	11.0	-0.004627766599597516
GEMIN6	12.0	-0.004627766599597516
CRELD1	14.0	-0.004627766599597516
FJX1	2.0	0.009657947686116775
ZBED8	10.0	-0.004627766599597516
MTFP1	7.0	0.009657947686116775
TEX261	12.0	-0.004627766599597516
NREP	17.0	0.008467471495640644
ADRB2	16.0	-0.004627766599597627
METTL21A	12.0	-0.004627766599597516
HSPD1	13.0	-0.004627766599597516
EXOSC7	4.0	0.009657947686116775
LDHA	5.0	0.009657947686116775
HSPH1	13.0	-0.004627766599597516
DRAM1	14.0	-0.004627766599597516
HNRNPDL	1.0	0.009657947686116775
P2RY2	4.0	0.009657947686116775
SLAMF8	14.0	-0.004627766599597516
IGFBP7	22.0	0.009657947686116719
PPARGC1B	5.0	0.009657947686116775
TRMT10A	12.0	-0.004627766599597516
SDF2L1	16.0	-0.004627766599597627
IRX3	15.0	-0.004627766599597516
ZBTB16	19.0	0.009657947686116719
DHCR24	16.0	-0.004627766599597627
ARHGAP25	10.0	-0.004627766599597516
AP4B1	14.0	-0.004627766599597516
DHODH	13.0	-0.004627766599597516
DNAJA1	12.0	-0.004627766599597516
FAM111A	16.0	-0.004627766599597627
TMEM116	14.0	-0.004627766599597516
MGAT4A	3.0	0.009657947686116775
SCLY	15.0	-0.004627766599597516
EEF1AKMT1	14.0	-0.004627766599597516
DZIP3	15.0	-0.004627766599597516
