Item ID	Item value	Change in Kuiper test statistic when item removed
IPO13	12.0	-0.007337526205450695
CLPB	13.0	-0.007337526205450695
OGG1	13.0	-0.007337526205450695
JRKL	11.0	-0.003406708595387775
PIGV	13.0	-0.007337526205450695
MED18	9.0	0.011530398322851187
CASP9	14.0	-0.007337526205450695
EPM2AIP1	11.0	-0.003406708595387775
ZMYM1	12.0	-0.007337526205450695
RIMS3	20.0	0.011530398322851187
CHL1	20.0	0.011530398322851187
FPGT	13.0	-0.007337526205450695
EXO5	13.0	-0.007337526205450695
PGM1	6.0	0.011530398322851187
NUDT13	11.0	-0.003406708595387775
ZNF436-AS1	7.0	0.011530398322851187
ALG8	14.0	-0.007337526205450695
NUP210	12.0	-0.007337526205450695
UBE2E1	24.0	0.011530398322851187
LRRC40	2.0	0.011530398322851187
SETMAR	13.0	-0.007337526205450695
TRNAU1AP	13.0	-0.007337526205450695
IL17RD	15.0	-0.007337526205450695
TBC1D1	16.0	0.011530398322851187
MOB3C	10.0	0.011530398322851187
MINPP1	15.0	-0.007337526205450695
LRTOMT	12.0	-0.007337526205450695
BTD	15.0	-0.007337526205450695
HNRNPH3	16.0	0.011530398322851187
ZMYND12	14.0	-0.007337526205450695
SEC22C	6.0	0.011530398322851187
LUZP1	4.0	0.011530398322851187
FUT11	2.0	0.011530398322851187
PTAFR	8.0	0.011530398322851187
ZNF518A	13.0	-0.007337526205450695
NOL9	12.0	-0.007337526205450695
PRDM10	17.0	0.011530398322851187
JAKMIP3	3.0	0.011530398322851187
ZKSCAN7	13.0	-0.007337526205450695
CAMTA1	14.0	-0.007337526205450695
NCDN	12.0	-0.007337526205450695
BEND5	1.0	0.011530398322851187
ZRANB2	13.0	-0.007337526205450695
PLEKHA1	3.0	0.011530398322851187
KIAA2013	2.0	0.011530398322851187
ELP6	14.0	-0.007337526205450695
TTC39A	10.0	0.011530398322851187
HEYL	15.0	-0.007337526205450695
PER3	15.0	-0.007337526205450695
GPAM	12.0	-0.007337526205450695
ATG16L2	13.0	-0.007337526205450695
RSRP1	13.0	-0.007337526205450695
NDUFAF3	15.0	-0.007337526205450695
CCDC66	19.0	0.011530398322851187
