Item ID	Item value	Change in Kuiper test statistic when item removed
CPQ	23.0	-0.0025316455696201556
CPXM2	16.0	-0.0025316455696201556
ITGB3	0.0	-0.0025316455696201556
QPRT	15.0	-0.0025316455696201556
PIGP	14.0	-0.0025316455696201556
FAM107A	22.0	-0.0025316455696201556
VLDLR	3.0	0.010126582278481178
SAT1	12.0	-0.0025316455696201556
PRSS23	1.0	-0.0025316455696201556
AQP1	20.0	-0.0025316455696201556
THBD	14.0	-0.0025316455696201556
FLCN	10.0	0.010126582278481178
DBP	13.0	-0.0025316455696201556
SESN3	10.0	0.010126582278481178
CA2	15.0	-0.0025316455696201556
PDK4	17.0	-0.0025316455696201556
CASP1	17.0	-0.0025316455696201556
RNF150	19.0	-0.0025316455696201556
CNPPD1	12.0	-0.0025316455696201556
IER3	8.0	0.010126582278481178
VWF	1.0	-0.0025316455696201556
KCTD1	14.0	-0.0025316455696201556
IL17RD	15.0	-0.0025316455696201556
SORCS2	1.0	-0.0025316455696201556
PRLR	5.0	0.010126582278481178
MTURN	17.0	-0.0025316455696201556
RAD51B	21.0	-0.0025316455696201556
CYP39A1	12.0	-0.0025316455696201556
AR	14.0	-0.0025316455696201556
MAF	0.0	-0.0025316455696201556
CCDC80	20.0	-0.0025316455696201556
ESRP1	23.0	-0.0025316455696201556
DDIT4	3.0	0.010126582278481178
ASPG	16.0	-0.0025316455696201556
ANOS1	15.0	-0.0025316455696201556
EZR	1.0	-0.0025316455696201556
METTL27	13.0	-0.0025316455696201556
HOXB6	11.0	0.010126582278481067
PAOX	14.0	-0.0025316455696201556
RTN2	14.0	-0.0025316455696201556
CHODL	21.0	-0.0025316455696201556
HDAC5	12.0	-0.0025316455696201556
RNASEL	13.0	-0.0025316455696201556
ZNF395	2.0	0.010126582278481178
SLC24A3	1.0	-0.0025316455696201556
C1S	0.0	-0.0025316455696201556
C1R	23.0	-0.0025316455696201556
NPR2	17.0	-0.0025316455696201556
PELI2	0.0	-0.0025316455696201556
LRRC17	0.0	-0.0025316455696201556
ADCY4	3.0	0.010126582278481178
GSTT2	13.0	-0.0025316455696201556
ATP1A2	23.0	-0.0025316455696201556
NREP	17.0	-0.0025316455696201556
CRIP1	6.0	0.010126582278481178
FBLN5	22.0	-0.0025316455696201556
NKD2	15.0	-0.0025316455696201556
BCL2L11	12.0	-0.0025316455696201556
TSPAN8	15.0	-0.0025316455696201556
UAP1L1	4.0	0.010126582278481178
MPZL2	11.0	0.010126582278481067
AOC3	1.0	-0.0025316455696201556
TMEM86A	14.0	-0.0025316455696201556
CHKB	14.0	-0.0025316455696201556
RARRES2	23.0	-0.0025316455696201556
ZBTB16	19.0	-0.0025316455696201556
NAGA	14.0	-0.0025316455696201556
SNCAIP	2.0	0.010126582278481178
MAB21L3	12.0	-0.0025316455696201556
MFAP4	21.0	-0.0025316455696201556
CXCL12	21.0	-0.0025316455696201556
PER3	15.0	-0.0025316455696201556
TRPV6	11.0	0.010126582278481067
TEF	15.0	-0.0025316455696201556
SLC6A9	5.0	0.010126582278481178
COL7A1	12.0	-0.0025316455696201556
MGP	20.0	-0.0025316455696201556
KLF9	20.0	-0.0025316455696201556
ASB2	3.0	0.010126582278481178
RECK	15.0	-0.0025316455696201556
