Item ID	Item value	Change in Kuiper test statistic when item removed
TDRKH	16.0	0.011714975845410647
DCLRE1C	13.0	-0.007729468599033729
PIGO	13.0	-0.007729468599033729
MPI	11.0	-0.00772946859903384
TNFAIP2	7.0	0.014492753623188415
CIB1	8.0	0.01449275362318836
SNX10	1.0	0.01449275362318836
TNF	11.0	-0.00772946859903384
C1ORF210	15.0	-0.00772946859903384
CCT6B	3.0	0.01449275362318836
FAM221A	3.0	0.01449275362318836
CA2	15.0	-0.00772946859903384
TRIM68	12.0	-0.00772946859903384
ANXA7	4.0	0.01449275362318836
ZNF524	14.0	-0.00772946859903384
VILL	14.0	-0.00772946859903384
RAB11FIP4	24.0	0.014492753623188415
DENND2D	13.0	-0.007729468599033729
ALG8	14.0	-0.00772946859903384
NUP210	12.0	-0.00772946859903384
RHBDD2	3.0	0.01449275362318836
ARHGEF16	12.0	-0.00772946859903384
SLC39A11	1.0	0.01449275362318836
ADAT1	11.0	-0.00772946859903384
ANO9	11.0	-0.00772946859903384
WDR31	13.0	-0.007729468599033729
DHCR24	16.0	0.011714975845410647
VRK3	12.0	-0.00772946859903384
PRLR	5.0	0.014492753623188415
THNSL2	12.0	-0.00772946859903384
HDHD3	12.0	-0.00772946859903384
ELL3	14.0	-0.00772946859903384
SULF2	2.0	0.01449275362318836
NIPSNAP2	2.0	0.01449275362318836
SLC5A6	13.0	-0.007729468599033729
GJB2	4.0	0.01449275362318836
DBNDD2	14.0	-0.00772946859903384
RAD51D	13.0	-0.007729468599033729
ELF3	4.0	0.01449275362318836
NAT1	11.0	-0.00772946859903384
ZSCAN20	12.0	-0.00772946859903384
BCL3	7.0	0.014492753623188415
TLR5	14.0	-0.00772946859903384
NGEF	5.0	0.014492753623188415
SLC49A3	15.0	-0.00772946859903384
PAOX	14.0	-0.00772946859903384
