Item ID	Item value	Change in Kuiper test statistic when item removed
MOXD1	1.0	-0.006250000000000033
CNRIP1	18.0	0.009374999999999967
MT1L	-2.0	-0.006250000000000033
TNC	-2.0	-0.006250000000000033
AQP1	16.0	0.009374999999999967
THBD	10.0	-0.001041666666666663
MT2A	-1.0	-0.006250000000000033
LGALS2	-1.0	-0.006250000000000033
RGS2	6.0	-0.006250000000000033
CTSG	16.0	0.009374999999999967
ADAMTS9	14.0	-0.001041666666666663
PDGFRA	13.0	-0.001041666666666663
ST6GAL1	9.0	-0.001041666666666663
PPTC7	-3.0	-0.021875000000000033
RNASE6	11.0	-0.001041666666666663
TRAF1	11.0	-0.001041666666666663
GEM	18.0	0.009374999999999967
CDC25B	6.0	-0.006250000000000033
RNF41	-3.0	-0.021875000000000033
CH25H	9.0	-0.001041666666666663
CCDC80	16.0	0.009374999999999967
MAF	-4.0	-0.021875000000000033
PALLD	-3.0	-0.021875000000000033
RBP1	1.0	-0.006250000000000033
BIRC3	9.0	-0.001041666666666663
MT1E	-4.0	-0.021875000000000033
S100A7	0.0	-0.006250000000000033
COL15A1	17.0	0.009374999999999967
NNMT	17.0	0.009374999999999967
C1S	-4.0	-0.021875000000000033
C1R	19.0	0.009374999999999967
CXCR4	-3.0	-0.021875000000000033
TMTC1	12.0	-0.001041666666666663
ATP1A2	19.0	0.009374999999999967
CRIP1	2.0	-0.006250000000000033
NID2	-4.0	-0.021875000000000033
SOCS2	13.0	-0.001041666666666663
SOCS3	4.0	-0.006250000000000033
NEURL1B	14.0	-0.001041666666666663
NUAK1	10.0	-0.001041666666666663
NFIL3	-3.0	-0.021875000000000033
LRRC8C	-4.0	-0.021875000000000033
CCL2	8.0	-0.006250000000000033
IGFBP7	18.0	0.009374999999999967
FILIP1L	9.0	-0.001041666666666663
A2M	18.0	0.009374999999999967
AOC3	-3.0	-0.021875000000000033
EGR1	4.0	-0.006250000000000033
MPP3	9.0	-0.001041666666666663
LUM	18.0	0.009374999999999967
CAV1	11.0	-0.001041666666666663
MCAM	-1.0	-0.006250000000000033
RARRES2	19.0	0.009374999999999967
CYBRD1	10.0	-0.001041666666666663
KLF4	18.0	0.009374999999999967
DHODH	9.0	-0.001041666666666663
HEYL	11.0	-0.001041666666666663
CXCL12	17.0	0.009374999999999967
COL1A2	18.0	0.009374999999999967
ARHGAP30	20.0	0.009374999999999967
IGLL1	11.0	-0.001041666666666663
RCAN2	1.0	-0.006250000000000033
MGP	16.0	0.009374999999999967
NFKBIE	6.0	-0.006250000000000033
CALM1	0.0	-0.006250000000000033
