Item ID	Item value	Change in Kuiper test statistic when item removed
BCAR3	-2.0	-0.0384615384615386
ZNF232	8.0	0.0015384615384614886
RASL11B	7.0	0.0015384615384613776
TFRC	3.0	-0.005128205128205221
CSTF2	6.0	0.0015384615384614886
RRP1	4.0	0.0015384615384613776
BRCA1	12.0	0.0015384615384613776
HSPD1	9.0	0.0015384615384614886
AURKA	5.0	0.0015384615384614886
CCNB1	6.0	0.0015384615384614886
PTTG1	1.0	-0.005128205128205221
HENMT1	11.0	0.0015384615384613776
STBD1	-2.0	-0.0384615384615386
EXO5	9.0	0.0015384615384614886
FAM83D	10.0	0.0015384615384613776
RAB11FIP4	20.0	0.04153846153846141
GINS2	12.0	0.0015384615384613776
RRM2	7.0	0.0015384615384613776
IDH2	2.0	-0.005128205128205221
PYCR1	12.0	0.0015384615384613776
CTPS1	8.0	0.0015384615384614886
TTC39A	6.0	0.0015384615384614886
CKS2	7.0	0.0015384615384613776
BIRC5	0.0	-0.005128205128205221
CENPN	0.0	-0.005128205128205221
KIF2C	4.0	0.0015384615384613776
