Item ID	Item value	Change in Kuiper test statistic when item removed
CX3CR1	8.0	0.004761904761904523
SAMD9L	9.0	0.004761904761904634
SLC24A3	-3.0	-0.023809523809523836
SERPINE2	-3.0	-0.023809523809523836
AVIL	6.0	0.004761904761904523
GLRX	9.0	0.004761904761904634
TMEM141	12.0	0.01547619047619031
TNF	7.0	0.004761904761904523
HK2	-1.0	-0.023809523809523836
NFIL3	-3.0	-0.023809523809523836
SERTAD1	7.0	0.004761904761904523
UAP1L1	0.0	-0.023809523809524058
LRRC8C	-4.0	-0.023809523809523836
CASP1	13.0	0.033333333333333215
SLAMF7	11.0	0.01547619047619031
UPP1	3.0	-0.008333333333333526
SMCO4	9.0	0.004761904761904634
CCR5	5.0	0.004761904761904745
TAF9B	12.0	0.01547619047619031
JUNB	5.0	0.004761904761904745
IER3	4.0	0.004761904761904523
EGR1	4.0	0.004761904761904523
CDKN2B	7.0	0.004761904761904523
SDF2L1	12.0	0.01547619047619031
DAPK2	1.0	-0.023809523809524058
CYP51A1	14.0	0.033333333333333215
C1ORF21	-3.0	-0.023809523809523836
PILRB	9.0	0.004761904761904634
TRAF1	11.0	0.01547619047619031
DUSP6	5.0	0.004761904761904745
TPST2	9.0	0.004761904761904634
FES	8.0	0.004761904761904523
FAM20A	3.0	-0.008333333333333526
PLEKHO2	5.0	0.004761904761904745
LY6G5B	20.0	0.033333333333333215
ASB2	-1.0	-0.023809523809523836
