Item ID	Item value	Change in Kuiper test statistic when item removed
ARHGAP9	9.0	-0.005847953216373991
TDRKH	12.0	0.04970760233918159
GCDH	8.0	-0.005847953216373991
SNAPIN	8.0	-0.005847953216373991
TFRC	3.0	-0.01973684210526294
METTL1	9.0	-0.005847953216373991
ABCC5	9.0	-0.005847953216373991
MIPOL1	16.0	0.04970760233918159
VEGFA	0.0	-0.01973684210526283
NIPSNAP2	-2.0	-0.01973684210526294
RBM4	9.0	-0.005847953216373991
TTC8	-3.0	-0.01973684210526294
OPA1	-2.0	-0.01973684210526294
CDK5	10.0	0.03581871345029264
CTSK	-3.0	-0.01973684210526294
CALM1	0.0	-0.01973684210526283
MET	9.0	-0.005847953216373991
FJX1	-2.0	-0.01973684210526294
CCT5	6.0	-0.01973684210526294
