Item ID	Item value	Change in Kuiper test statistic when item removed
PHF3	-1.0	-0.021739130434782705
IL33	11.0	0.021739130434782483
CFH	18.0	0.021739130434782483
VWF	-3.0	-0.021739130434782705
CAV1	11.0	0.021739130434782483
OGG1	9.0	0.021739130434782483
CETN3	8.0	0.021739130434782483
HP	14.0	0.021739130434782483
PDE4DIP	10.0	0.021739130434782483
LRP4	0.0	-0.021739130434782705
TGFBR2	-2.0	-0.021739130434782705
VEGFA	0.0	-0.021739130434782705
CLK1	4.0	0.021739130434782483
ALDH4A1	13.0	0.021739130434782483
MT2A	-1.0	-0.021739130434782705
PALLD	-3.0	-0.021739130434782705
DDIT4	-1.0	-0.021739130434782705
DPYSL3	-1.0	-0.021739130434782705
IRF7	8.0	0.021739130434782483
SSPN	14.0	0.021739130434782483
HNRNPH3	12.0	0.021739130434782483
MT1B	-2.0	-0.021739130434782705
ABCG1	0.0	-0.021739130434782705
MT1E	-4.0	-0.06340579710144911
