Item ID	Item value	Change in Kuiper test statistic when item removed
OGG1	13.0	-0.007680491551459334
PARS2	12.0	-0.007680491551459334
HSCB	12.0	-0.007680491551459334
DCAF7	11.0	-0.007680491551459334
MED18	9.0	0.008448540706605279
AP4M1	12.0	-0.007680491551459334
ING2	2.0	0.008448540706605168
ZMYM1	12.0	-0.007680491551459334
OPA1	2.0	0.008448540706605168
GTSE1	4.0	0.008448540706605168
ALG8	14.0	-0.007680491551459334
TTC32	1.0	0.008448540706605168
NSMCE1	15.0	-0.007680491551459334
LRRC40	2.0	0.008448540706605168
ARMC8	0.0	0.008448540706605168
TENT5B	16.0	0.008448540706605168
RNF41	1.0	0.008448540706605168
RAD51B	21.0	0.008448540706605168
KATNAL2	15.0	-0.007680491551459334
NME7	13.0	-0.007680491551459334
ZNF438	13.0	-0.007680491551459334
BIRC5	4.0	0.008448540706605168
KIF2C	8.0	0.008448540706605168
GEMIN6	12.0	-0.007680491551459334
MTFR2	23.0	0.008448540706605168
PLEKHO2	9.0	0.008448540706605279
PIGF	14.0	-0.007680491551459334
PIF1	10.0	0.008448540706605223
RTEL1	15.0	-0.007680491551459334
TEDC2	15.0	-0.007680491551459334
STOML1	12.0	-0.007680491551459334
ABCB6	14.0	-0.007680491551459334
TRMT2A	11.0	-0.007680491551459334
HMMR	10.0	0.008448540706605223
HSPA14	1.0	0.008448540706605168
TMEM241	15.0	-0.007680491551459334
AURKA	9.0	0.008448540706605279
PRIMPOL	12.0	-0.007680491551459334
PSMC3IP	14.0	-0.007680491551459334
BRIP1	1.0	0.008448540706605168
APOM	6.0	0.008448540706605168
STK35	23.0	0.008448540706605168
RAB24	13.0	-0.007680491551459334
BRD8	12.0	-0.007680491551459334
RIBC1	11.0	-0.007680491551459334
FANCI	2.0	0.008448540706605168
RRM2	11.0	-0.007680491551459334
NFYA	12.0	-0.007680491551459334
FANCL	14.0	-0.007680491551459334
INTS3	15.0	-0.007680491551459334
SLC16A10	13.0	-0.007680491551459334
AP4B1	14.0	-0.007680491551459334
POLA1	18.0	0.008448540706605168
FAM111A	16.0	0.008448540706605168
MFAP1	11.0	-0.007680491551459334
POLE2	1.0	0.008448540706605168
RAB12	1.0	0.008448540706605168
INTS7	13.0	-0.007680491551459334
CENPN	4.0	0.008448540706605168
LY6G5B	24.0	0.008448540706605168
C16ORF86	8.0	0.008448540706605168
MXD3	23.0	0.008448540706605168
DZIP3	15.0	-0.007680491551459334
