Item ID	Item value	Change in Kuiper test statistic when item removed
EIF4A2	14.0	-0.004216269841269993
CCDC121	10.0	-0.004216269841269993
RFESD	12.0	-0.004216269841269993
CXORF65	3.0	0.011656746031745824
CITED4	19.0	0.011656746031745824
TMEM186	11.0	-0.004216269841269993
ACTG1	16.0	0.011656746031745824
THTPA	14.0	-0.004216269841269993
GMPPB	13.0	-0.004216269841269993
LGALS2	3.0	0.011656746031745824
DBP	13.0	-0.004216269841269993
HENMT1	15.0	-0.004216269841269993
HYAL3	14.0	-0.004216269841269993
TEKT2	2.0	0.011656746031745824
EXO5	13.0	-0.004216269841269993
ABT1	22.0	0.011656746031745824
METTL1	13.0	-0.004216269841269993
SETMAR	13.0	-0.004216269841269993
IRAK3	24.0	0.011656746031745824
TRNAU1AP	13.0	-0.004216269841269993
THAP1	12.0	-0.004216269841269993
NRN1L	0.0	0.011656746031745824
SNHG12	12.0	-0.004216269841269993
TMEM138	11.0	-0.004216269841269993
CKS2	11.0	-0.004216269841269993
BIRC5	4.0	0.011656746031745824
ZNF513	12.0	-0.004216269841269993
HNRNPH3	16.0	0.011656746031745824
NEIL1	13.0	-0.004216269841269993
LETMD1	13.0	-0.004216269841269993
SRSF7	14.0	-0.004216269841269993
ZNF397	11.0	-0.004216269841269993
ZNF594	12.0	-0.004216269841269993
TEDC2	15.0	-0.004216269841269993
MEPCE	10.0	-0.004216269841269993
SLC43A1	12.0	-0.004216269841269993
NDUFA4L2	10.0	-0.004216269841269993
MRM1	12.0	-0.004216269841269993
AURKA	9.0	0.011656746031745824
HSPD1	13.0	-0.004216269841269993
ARFRP1	12.0	-0.004216269841269993
MAT2A	13.0	-0.004216269841269993
HNRNPDL	1.0	0.011656746031745824
C10ORF95	13.0	-0.004216269841269993
CCT5	10.0	-0.004216269841269993
PRELID3A	12.0	-0.004216269841269993
FAM120AOS	14.0	-0.004216269841269993
SNAPIN	12.0	-0.004216269841269993
RRM2	11.0	-0.004216269841269993
HSPA5	1.0	0.011656746031745824
IRX3	15.0	-0.004216269841269993
CARD8	13.0	-0.004216269841269993
KCNJ14	2.0	0.011656746031745824
PRG2	2.0	0.011656746031745824
PDE4DIP	14.0	-0.004216269841269993
PEX12	11.0	-0.004216269841269993
NLE1	13.0	-0.004216269841269993
ELL3	14.0	-0.004216269841269993
MFAP1	11.0	-0.004216269841269993
NDUFAF3	15.0	-0.004216269841269993
NABP1	13.0	-0.004216269841269993
PDCD2	15.0	-0.004216269841269993
C16ORF86	8.0	0.011656746031745824
MXD3	23.0	0.011656746031745824
