Item ID	Item value	Change in Kuiper test statistic when item removed
MTFP1	3.0	-0.009971509971509973
AMIGO2	-2.0	-0.009971509971509973
NREP	13.0	0.028490028490028352
PRSS23	-3.0	-0.009971509971509973
MT2A	-1.0	-0.009971509971509973
CCNB1	6.0	-0.009971509971510084
EFNB3	4.0	-0.009971509971509973
NMRK1	7.0	-0.009971509971510084
GPER1	-3.0	-0.009971509971509973
MYB	0.0	-0.009971509971509973
SH3BP5	0.0	-0.009971509971509973
RAB11FIP3	9.0	-0.009971509971510084
NSUN5P1	9.0	-0.009971509971510084
DUSP2	5.0	-0.009971509971509973
NSUN5	9.0	-0.009971509971510084
IRX3	11.0	0.028490028490028352
NAV1	-3.0	-0.009971509971509973
APTX	9.0	-0.009971509971510084
PRLR	1.0	-0.009971509971509973
TTC39A	6.0	-0.009971509971510084
TMCO6	8.0	-0.009971509971510084
CXCL12	17.0	0.028490028490028352
MGP	16.0	0.028490028490028352
SFXN2	10.0	0.028490028490028352
PABPC1L	13.0	0.028490028490028352
S100A7	0.0	-0.009971509971509973
FKBP5	16.0	0.028490028490028352
