Item ID	Item value	Change in Kuiper test statistic when item removed
DCLRE1A	11.0	-0.005747126436781935
C8ORF48	13.0	-0.005747126436781935
TTC23	11.0	-0.005747126436781935
DCLRE1C	13.0	-0.005747126436781935
FASTKD1	13.0	-0.005747126436781935
TNFAIP6	22.0	0.011796733212340926
CPQ	23.0	0.011796733212340926
ZMYND8	13.0	-0.005747126436781935
QPRT	15.0	-0.005747126436781713
MPI	11.0	-0.005747126436781935
TMEM141	16.0	8.318209316391934E-4
GIMAP7	21.0	0.011796733212340926
RBM4	13.0	-0.005747126436781935
ARMH4	18.0	0.011796733212340926
SACS	12.0	-0.005747126436781935
NUDT13	11.0	-0.005747126436781935
BIVM	12.0	-0.005747126436781935
FBXO15	11.0	-0.005747126436781935
TRAF1	15.0	-0.005747126436781713
KRT72	23.0	0.011796733212340926
RAD51B	21.0	0.011796733212340926
NRN1L	0.0	0.01179673321234087
ELF3	4.0	0.01179673321234087
NME7	13.0	-0.005747126436781935
KATNAL2	15.0	-0.005747126436781713
TMEM139	14.0	-0.005747126436781935
RFX5	12.0	-0.005747126436781935
ZNF239	11.0	-0.005747126436781935
GEMIN6	12.0	-0.005747126436781935
NEIL1	13.0	-0.005747126436781935
GCDH	12.0	-0.005747126436781935
ZNF395	2.0	0.01179673321234087
STOML1	12.0	-0.005747126436781935
HMMR	10.0	0.01179673321234087
AGPAT4	1.0	0.01179673321234087
LIMA1	11.0	-0.005747126436781935
WDCP	11.0	-0.005747126436781935
RECQL5	14.0	-0.005747126436781935
CYYR1	18.0	0.011796733212340926
A2M	22.0	0.011796733212340926
MORC2	11.0	-0.005747126436781935
CYP2J2	17.0	0.011796733212340926
NFE2	13.0	-0.005747126436781935
TRMT10B	12.0	-0.005747126436781935
NICN1	14.0	-0.005747126436781935
TRPV2	13.0	-0.005747126436781935
PYCR1	16.0	8.318209316391934E-4
DEF6	6.0	0.01179673321234087
SMUG1	14.0	-0.005747126436781935
ZC3HC1	11.0	-0.005747126436781935
FAM111A	16.0	8.318209316391934E-4
BST1	5.0	0.01179673321234087
TPPP3	2.0	0.01179673321234087
ARHGAP30	24.0	0.011796733212340926
COL5A3	14.0	-0.005747126436781935
COL7A1	12.0	-0.005747126436781935
SSPN	18.0	0.011796733212340926
PYROXD2	13.0	-0.005747126436781935
