Item ID	Item value	Change in Kuiper test statistic when item removed
EIF4A2	10.0	0.024774774774774855
ERO1A	-1.0	-0.0030030030030029353
GCDH	8.0	-0.0030030030030029353
TFRC	3.0	-0.0030030030030029353
GLRX	9.0	-0.0030030030030029353
SAT1	8.0	-0.0030030030030029353
PRSS23	-3.0	-0.030780780780780836
HSPD1	9.0	-0.0030030030030029353
RXRB	7.0	-0.0030030030030029353
MT2A	-1.0	-0.0030030030030029353
LDHA	1.0	-0.0030030030030029353
CA2	11.0	0.024774774774774855
DPYSL3	-1.0	-0.0030030030030029353
PDK4	13.0	0.024774774774774966
MYH11	17.0	0.024774774774774966
SLC25A20	11.0	0.024774774774774855
TBL1X	12.0	0.024774774774774966
UPP1	3.0	-0.0030030030030029353
PGM1	2.0	-0.0030030030030029353
BNIP3L	0.0	-0.0030030030030029353
RRM2	7.0	-0.0030030030030029353
HSPA5	-3.0	-0.030780780780780836
DUSP1	17.0	0.024774774774774966
IFRD1	8.0	-0.0030030030030029353
IDH2	2.0	-0.0030030030030029353
ACYP1	8.0	-0.0030030030030029353
DUSP6	5.0	-0.0030030030030029353
NIPSNAP2	-2.0	-0.030780780780780836
VEGFA	0.0	-0.0030030030030029353
NME7	9.0	-0.0030030030030029353
MYL2	8.0	-0.0030030030030029353
COL7A1	8.0	-0.0030030030030029353
DDIT4	-1.0	-0.0030030030030029353
CKS2	7.0	-0.0030030030030029353
DXO	8.0	-0.0030030030030029353
SLC25A4	-1.0	-0.0030030030030029353
PFKP	1.0	-0.0030030030030029353
