Item ID	Item value	Change in Kuiper test statistic when item removed
OGG1	1.0	-0.01264367816091938
PTAFR	20.0	0.021839080459770233
TNFAIP2	19.0	0.021839080459770233
SNX10	13.0	0.021839080459770344
ADRB2	4.0	-0.005459770114942364
KRI1	23.0	-0.005459770114942364
ARNTL	16.0	0.021839080459770233
THTPA	2.0	-0.01264367816091938
MFSD13A	4.0	-0.005459770114942364
EFHD2	15.0	0.021839080459770233
CASP1	5.0	0.021839080459770233
IGFBP7	10.0	0.021839080459770233
SMCO4	1.0	-0.01264367816091938
GTSE1	16.0	0.021839080459770233
DENND2D	1.0	-0.01264367816091938
RAB4B	1.0	-0.01264367816091938
FZD2	13.0	0.021839080459770344
SYK	0.0	-0.01264367816091938
IL10RB	23.0	-0.005459770114942364
KNOP1	1.0	-0.01264367816091938
RFX2	12.0	0.021839080459770233
RNASE6	3.0	-0.01264367816091938
NAGA	2.0	-0.01264367816091938
PLPBP	2.0	-0.01264367816091938
PLA2G4A	0.0	-0.01264367816091938
PILRA	0.0	-0.01264367816091938
ELF3	16.0	0.021839080459770233
FES	0.0	-0.01264367816091938
RECK	3.0	-0.01264367816091938
HSPA1A	1.0	-0.01264367816091938
