Item ID	Item value	Change in Kuiper test statistic when item removed
SERPINE2	-3.0	-0.006377551020408323
F13A1	19.0	0.014455782312924992
TNF	7.0	-0.0063775510204082675
C1QTNF3	16.0	0.014455782312924992
LGALS2	-1.0	-0.006377551020408323
C1QTNF7	11.0	0.014455782312924992
ADAMTS1	9.0	-0.006377551020408212
PLAU	3.0	-0.0063775510204082675
CTSK	-3.0	-0.006377551020408323
HYAL3	10.0	-0.006377551020408212
ANXA7	0.0	-0.006377551020408323
TIMP3	14.0	0.014455782312924992
CTSG	16.0	0.014455782312924992
MUC15	11.0	0.014455782312924992
ADAMTS9	14.0	0.014455782312924992
RPTN	10.0	-0.006377551020408212
OVGP1	-2.0	-0.006377551020408323
FGFBP1	-3.0	-0.006377551020408323
EMCN	18.0	0.014455782312924992
FAM20A	3.0	-0.0063775510204082675
S100A9	1.0	-0.0063775510204082675
S100A7	0.0	-0.006377551020408323
MEGF6	10.0	-0.006377551020408212
ADAM22	8.0	-0.0063775510204082675
NTF4	10.0	-0.006377551020408212
HPX	20.0	0.014455782312924992
CLEC3B	19.0	0.014455782312924992
ADAMTS14	5.0	-0.0063775510204082675
CLEC7A	-3.0	-0.006377551020408323
GPC2	10.0	-0.006377551020408212
CCL2	8.0	-0.0063775510204082675
A2M	18.0	0.014455782312924992
EGLN2	6.0	-0.0063775510204082675
TGFB1	3.0	-0.0063775510204082675
ANGPT1	17.0	0.014455782312924992
TNFSF14	6.0	-0.0063775510204082675
BDNF	-2.0	-0.006377551020408323
IL37	10.0	-0.006377551020408212
SEMA4F	10.0	-0.006377551020408212
VEGFD	-2.0	-0.006377551020408323
SULF2	-2.0	-0.006377551020408323
IL1F10	6.0	-0.0063775510204082675
VEGFA	0.0	-0.006377551020408323
CRNN	14.0	0.014455782312924992
KITLG	9.0	-0.006377551020408212
CXCL12	17.0	0.014455782312924992
S100P	1.0	-0.0063775510204082675
C1QC	-2.0	-0.006377551020408323
CCL26	12.0	0.014455782312924992
