Item ID	Item value	Change in Kuiper test statistic when item removed
FGFBP1	-3.0	-0.0511904761904759
MEGF6	10.0	-0.009523809523809268
TGFB1	3.0	-0.03452380952380946
ANGPT1	17.0	0.040476190476190554
TNFSF14	6.0	-0.00952380952380949
BDNF	-2.0	-0.03452380952380918
IL37	10.0	-0.009523809523809268
VEGFD	-2.0	-0.03452380952380918
TNF	7.0	-0.00952380952380949
IL1F10	6.0	-0.00952380952380949
VEGFA	0.0	-0.03452380952380918
CRNN	14.0	0.040476190476190554
NTF4	10.0	-0.009523809523809268
KITLG	9.0	-0.00952380952380949
CXCL12	17.0	0.040476190476190554
CCL2	8.0	-0.00952380952380949
S100P	1.0	-0.03452380952380946
S100A9	1.0	-0.03452380952380946
RPTN	10.0	-0.009523809523809268
CCL26	12.0	0.040476190476190554
S100A7	0.0	-0.03452380952380918
