Item ID	Item value	Change in Kuiper test statistic when item removed
PHF3	3.0	-0.0017543859649121751
ERO1A	3.0	-0.0017543859649121751
ANKRD37	3.0	-0.0017543859649121751
ZMYND8	13.0	-0.0017543859649121751
HP	18.0	0.011578947368421133
TNFAIP2	7.0	-0.0017543859649121751
ADM	2.0	-0.0017543859649121751
VLDLR	3.0	-0.0017543859649121751
FZD10	3.0	-0.0017543859649121751
ENO2	5.0	-0.0017543859649121751
PIGV	13.0	-0.0017543859649121751
AQP3	10.0	-0.0017543859649122862
HK2	3.0	-0.0017543859649121751
RAB43	2.0	-0.0017543859649121751
EPM2AIP1	11.0	-0.0017543859649122862
PODNL1	15.0	-8.7719298245581E-5
NMRK1	11.0	-0.0017543859649122862
JUNB	9.0	-0.0017543859649121751
PGM1	6.0	-0.0017543859649121751
PSPH	14.0	-0.0017543859649122862
PDK1	3.0	-0.0017543859649121751
BNIP3L	4.0	-0.0017543859649121751
ARG2	14.0	-0.0017543859649122862
DUSP1	21.0	0.011578947368421133
IGFBP3	21.0	0.011578947368421133
SLC6A14	8.0	-0.0017543859649121751
MAN1B1-DT	6.0	-0.0017543859649121751
ARID5B	12.0	-0.0017543859649121751
ELF3	4.0	-0.0017543859649121751
SLCO4A1	15.0	-8.7719298245581E-5
ORAI3	6.0	-0.0017543859649121751
LETMD1	13.0	-0.0017543859649121751
S100A9	5.0	-0.0017543859649121751
BIRC3	13.0	-0.0017543859649121751
ZNF395	2.0	-0.0017543859649121751
KDM3A	4.0	-0.0017543859649121751
MEGF6	14.0	-0.0017543859649122862
SLC24A3	1.0	-0.0017543859649121751
CFH	22.0	0.011578947368421133
C1S	0.0	0.011578947368421133
GLRX	13.0	-0.0017543859649121751
APCDD1	1.0	-0.0017543859649121751
HSPD1	13.0	-0.0017543859649121751
SOCS3	8.0	-0.0017543859649121751
CYP4X1	0.0	0.011578947368421133
BCL2L11	12.0	-0.0017543859649121751
GMDS	20.0	0.011578947368421133
NFIL3	1.0	-0.0017543859649121751
RAB24	13.0	-0.0017543859649121751
HAS3	10.0	-0.0017543859649122862
NPTX1	14.0	-0.0017543859649122862
TBL1X	16.0	0.011578947368421133
IL33	15.0	-8.7719298245581E-5
ZRANB2	13.0	-0.0017543859649121751
HSPA5	1.0	-0.0017543859649121751
LUM	22.0	0.011578947368421133
IRX3	15.0	-8.7719298245581E-5
KRT13	4.0	-0.0017543859649121751
CYHR1	14.0	-0.0017543859649122862
CARD6	14.0	-0.0017543859649122862
CYBRD1	14.0	-0.0017543859649122862
PILRB	13.0	-0.0017543859649121751
FOXN3	2.0	-0.0017543859649121751
SNCAIP	2.0	-0.0017543859649121751
CLK4	10.0	-0.0017543859649122862
VEGFA	4.0	-0.0017543859649121751
SYT17	11.0	-0.0017543859649122862
CLK1	8.0	-0.0017543859649121751
GJB2	4.0	-0.0017543859649121751
SLC6A8	7.0	-0.0017543859649121751
RGCC	1.0	-0.0017543859649121751
BCL6	22.0	0.011578947368421133
BCL3	7.0	-0.0017543859649121751
NABP1	13.0	-0.0017543859649121751
S100P	5.0	-0.0017543859649121751
MAP3K13	4.0	-0.0017543859649121751
