Item ID	Item value	Change in Kuiper test statistic when item removed
LINC00482	5.0	0.0018115942028986698
JPT1	9.0	0.0018115942028985588
ITGA3	5.0	0.0018115942028986698
SLC39A11	-3.0	-0.041666666666666574
C17ORF80	7.0	0.0018115942028986698
SLC38A10	10.0	0.0018115942028986698
TUBD1	7.0	0.0018115942028986698
ARMC7	7.0	0.0018115942028986698
B3GNTL1	10.0	0.0018115942028986698
RNFT1	9.0	0.0018115942028985588
ACTG1	12.0	0.04528985507246386
TMEM100	15.0	0.04528985507246386
EPN3	8.0	0.0018115942028986698
SOCS3	4.0	-0.03623188405797095
BRIP1	-3.0	-0.041666666666666574
ANKFN1	10.0	0.0018115942028986698
RECQL5	10.0	0.0018115942028986698
TMEM104	7.0	0.0018115942028986698
PRR15L	6.0	0.0018115942028986698
BIRC5	0.0	-0.041666666666666574
FAM20A	3.0	-0.03804347826086951
GPRC5C	2.0	-0.03985507246376807
HOXB6	7.0	0.0018115942028986698
KCNJ2	5.0	0.0018115942028986698
