Item ID	Item value	Change in Kuiper test statistic when item removed
ZNF177	13.0	-0.004107981220657586
TDRKH	16.0	-0.004107981220657586
TFRC	7.0	0.009976525821595972
PIGP	14.0	-0.004107981220657586
BRCA1	16.0	-0.004107981220657586
FAM107B	2.0	0.009976525821595972
CASP9	14.0	-0.004107981220657586
PTTG1	5.0	0.009976525821595972
OPA1	2.0	0.009976525821595972
MYB	4.0	0.009976525821595972
OIP5	14.0	-0.004107981220657586
SMCO4	13.0	-0.004107981220657586
SOX7	3.0	0.009976525821595972
GTSE1	4.0	0.009976525821595972
PSPH	14.0	-0.004107981220657586
ATP6V0E2-AS1	12.0	-0.004107981220657586
PDGFRA	17.0	0.009976525821595916
NUP210	12.0	-0.004107981220657586
ABCC5	13.0	-0.004107981220657586
SLX4IP	13.0	-0.004107981220657586
CAD	12.0	-0.004107981220657586
ARHGEF16	12.0	-0.004107981220657586
ACYP1	12.0	-0.004107981220657586
NSUN7	2.0	0.009976525821595972
RPP25L	13.0	-0.004107981220657586
TBC1D1	16.0	-0.004107981220657586
TIMELESS	15.0	-0.004107981220657586
GEMIN6	12.0	-0.004107981220657586
KIF2C	8.0	0.009976525821595972
DCP2	11.0	0.008802816901408106
ANKRD36B	2.0	0.009976525821595972
FKBP5	20.0	0.009976525821595916
SEC22C	6.0	0.009976525821595972
L3MBTL1	13.0	-0.004107981220657586
TEDC2	15.0	-0.004107981220657586
ZBED8	10.0	0.009389671361501983
GMPR2	14.0	-0.004107981220657586
SRBD1	16.0	-0.004107981220657586
HMMR	10.0	0.009389671361501983
OMA1	14.0	-0.004107981220657586
AURKA	9.0	0.009976525821595972
BCLAF1	23.0	0.009976525821595916
C5	15.0	-0.004107981220657586
CCNB1	10.0	0.009389671361501983
DPH5	14.0	-0.004107981220657586
BRD8	12.0	-0.004107981220657586
TBL1X	16.0	-0.004107981220657586
FAM83D	14.0	-0.004107981220657586
CDR2	1.0	0.009976525821595972
RAB11FIP4	24.0	0.009976525821595916
FAM120AOS	14.0	-0.004107981220657586
NR2C2AP	12.0	-0.004107981220657586
RIBC2	14.0	-0.004107981220657586
GINS2	16.0	-0.004107981220657586
RRM2	11.0	0.008802816901408106
NFYA	12.0	-0.004107981220657586
CCDC14	15.0	-0.004107981220657586
CYHR1	14.0	-0.004107981220657586
BFAR	11.0	0.008802816901408106
PPP2R3B	15.0	-0.004107981220657586
FOXN3	2.0	0.009976525821595972
NLE1	13.0	-0.004107981220657586
TMEM98	19.0	0.009976525821595916
HOOK2	13.0	-0.004107981220657586
GPAM	12.0	-0.004107981220657586
UBE2T	12.0	-0.004107981220657586
CENPJ	12.0	-0.004107981220657586
ASB9	18.0	0.009976525821595916
TUBGCP3	1.0	0.009976525821595972
SCLY	15.0	-0.004107981220657586
RECK	15.0	-0.004107981220657586
DZIP3	15.0	-0.004107981220657586
