Item ID	Item value	Change in Kuiper test statistic when item removed
CX3CR1	12.0	-0.006349206349206327
ZNF594	12.0	-0.006349206349206327
ORM1	10.0	-0.006349206349206327
RTKN	13.0	-0.006349206349206216
TNFAIP6	22.0	0.022222222222222365
KLK1	16.0	0.022222222222222365
RRAD	12.0	-0.006349206349206327
ICA1L	23.0	0.022222222222222365
PTAFR	8.0	-0.006349206349206327
APCDD1	1.0	0.022222222222222143
FBXO44	12.0	-0.006349206349206327
SAT1	12.0	-0.006349206349206327
RCBTB2	13.0	-0.006349206349206216
BBC3	8.0	-0.006349206349206327
RGS2	10.0	-0.006349206349206327
ADAMTS1	13.0	-0.006349206349206216
DCANP1	10.0	-0.006349206349206327
ALOX5	7.0	0.022222222222222143
SLAMF8	14.0	-0.006349206349206216
CAMTA1	14.0	-0.006349206349206216
ZNF524	14.0	-0.006349206349206216
CCR5	9.0	-0.006349206349206327
JUNB	9.0	-0.006349206349206327
IL4R	8.0	-0.006349206349206327
SCARA5	21.0	0.022222222222222365
DUSP1	21.0	0.022222222222222365
DAPK2	5.0	0.022222222222222143
IFRD1	12.0	-0.006349206349206327
VRK3	12.0	-0.006349206349206327
TTC39A	10.0	-0.006349206349206327
MPEG1	13.0	-0.006349206349206216
SYT17	11.0	-0.006349206349206327
TSGA10	15.0	-0.006349206349206216
BTD	15.0	-0.006349206349206216
PER3	15.0	-0.006349206349206216
NR4A3	10.0	-0.006349206349206327
