Item ID	Item value	Change in Kuiper test statistic when item removed
MOXD1	1.0	-0.01816239316239321
RASL11B	7.0	0.017094017094017144
PELI2	-4.0	-0.024572649572649374
CIB1	4.0	0.017094017094017144
FUT2	9.0	0.017094017094017144
PHYHIP	9.0	0.017094017094017144
TRAM2	-2.0	-0.021367521367521403
HK2	-1.0	-0.021367521367521403
LIMA1	7.0	0.017094017094017144
MT2A	-1.0	-0.021367521367521403
FUT8	11.0	0.017094017094017144
ALOX5	3.0	0.017094017094017144
MYB	0.0	-0.021367521367521403
EFHD2	-1.0	-0.021367521367521403
VILL	10.0	0.017094017094017144
KCNN4	-2.0	-0.021367521367521403
AOC3	-3.0	-0.021367521367521403
BNIP3L	0.0	-0.021367521367521403
SYK	8.0	0.017094017094017144
TRPV2	9.0	0.017094017094017144
SORD	18.0	0.017094017094016922
IRAK3	20.0	0.0523504273504275
GEM	18.0	0.017094017094016922
BST1	1.0	-0.01816239316239321
PALLD	-3.0	-0.021367521367521403
DDIT4	-1.0	-0.021367521367521403
ZFPM2	16.0	0.017094017094017144
