Item ID	Item value	Change in Kuiper test statistic when item removed
DQX1	14.0	-0.005241605241605218
GALNT18	3.0	0.0038493038493038756
RASEF	9.0	0.0038493038493038756
ENO2	5.0	0.0038493038493038756
AQP3	10.0	0.0038493038493038756
ARHGAP44	18.0	0.00384930384930382
PODNL1	15.0	0.00384930384930382
MYB	4.0	0.0038493038493038756
MACROD1	11.0	-0.005241605241605218
JUNB	9.0	0.0038493038493038756
GAMT	11.0	-0.005241605241605218
ZNF561	13.0	-0.005241605241605218
ZNF284	8.0	0.0038493038493038756
IGFBP3	21.0	0.00384930384930382
HIC1	13.0	-0.005241605241605218
TPST2	13.0	-0.005241605241605218
DISP2	16.0	0.00384930384930382
MAF	0.0	0.0038493038493038756
KCNQ1	8.0	0.0038493038493038756
ABCG1	4.0	0.0038493038493038756
ARL8A	2.0	0.0038493038493038756
TMEM63A	13.0	-0.005241605241605218
ABCB6	14.0	-0.005241605241605218
COL13A1	6.0	0.0038493038493038756
GSTT2	13.0	-0.005241605241605218
ADRB2	16.0	0.00384930384930382
APCDD1	1.0	0.0038493038493038756
FBXO44	12.0	-0.005241605241605218
ITPRIPL2	10.0	0.0038493038493038756
HSD11B2	3.0	0.0038493038493038756
NUAK1	14.0	-0.005241605241605218
ADAP2	16.0	0.00384930384930382
BCL2L11	12.0	-0.005241605241605218
FLRT2	13.0	-0.005241605241605218
ZNF767P	13.0	-0.005241605241605218
CAMTA1	14.0	-0.005241605241605218
FAM43B	1.0	0.0038493038493038756
FAM83D	14.0	-0.005241605241605218
EGR1	8.0	0.0038493038493038756
CHKA	13.0	-0.005241605241605218
AUTS2	2.0	0.0038493038493038756
BDNF	2.0	0.0038493038493038756
TRPV2	13.0	-0.005241605241605218
CYBRD1	14.0	-0.005241605241605218
ELL3	14.0	-0.005241605241605218
DNAJC18	12.0	-0.005241605241605218
TSGA10	15.0	0.00384930384930382
TP53I3	12.0	-0.005241605241605218
CABYR	17.0	0.00384930384930382
ZNF30	11.0	-0.005241605241605218
TUBGCP6	12.0	-0.005241605241605218
TMCC2	4.0	0.0038493038493038756
XAF1	13.0	-0.005241605241605218
CNTNAP3	2.0	0.0038493038493038756
RTP4	13.0	-0.005241605241605218
LMBR1L	11.0	-0.005241605241605218
MOXD1	5.0	0.0038493038493038756
CLIC5	14.0	-0.005241605241605218
DOCK4	16.0	0.00384930384930382
ADM	2.0	0.0038493038493038756
CASP1	17.0	0.00384930384930382
EXO5	13.0	-0.005241605241605218
ZNF248	12.0	-0.005241605241605218
CERS4	12.0	-0.005241605241605218
EMX2	5.0	0.0038493038493038756
LYNX1	17.0	0.00384930384930382
ARG2	14.0	-0.005241605241605218
SMAD5-AS1	11.0	-0.005241605241605218
ABCC5	13.0	-0.005241605241605218
C17ORF80	11.0	-0.005241605241605218
ZDHHC11	4.0	0.0038493038493038756
CBFA2T3	14.0	-0.005241605241605218
MED23	2.0	0.0038493038493038756
CEACAM1	23.0	0.00384930384930382
TRAF4	10.0	0.0038493038493038756
C1QTNF12	2.0	0.0038493038493038756
IRF1	7.0	0.0038493038493038756
C19ORF25	12.0	-0.005241605241605218
DNASE1	11.0	-0.005241605241605218
ASPA	14.0	-0.005241605241605218
GPRC5C	6.0	0.0038493038493038756
ZNF234	12.0	-0.005241605241605218
CHST3	5.0	0.0038493038493038756
MAGEH1	14.0	-0.005241605241605218
HDAC5	12.0	-0.005241605241605218
COL15A1	21.0	0.00384930384930382
MEGF6	14.0	-0.005241605241605218
LUZP1	4.0	0.0038493038493038756
PTAFR	8.0	0.0038493038493038756
RBM4B	12.0	-0.005241605241605218
CRIP2	4.0	0.0038493038493038756
CRIP1	6.0	0.0038493038493038756
NTN1	23.0	0.00384930384930382
HOXD10	5.0	0.0038493038493038756
USP18	12.0	-0.005241605241605218
FAM184A	10.0	0.0038493038493038756
GNG7	19.0	0.00384930384930382
GABRE	13.0	-0.005241605241605218
C11ORF45	15.0	0.00384930384930382
GPR155	2.0	0.0038493038493038756
HES2	2.0	0.0038493038493038756
DUOX2	4.0	0.0038493038493038756
APOL2	15.0	0.00384930384930382
ANGPT1	21.0	0.00384930384930382
LAMB4	1.0	0.0038493038493038756
MCOLN2	4.0	0.0038493038493038756
BAIAP3	6.0	0.0038493038493038756
ALDH4A1	17.0	0.00384930384930382
KIF26A	2.0	0.0038493038493038756
IL2RB	13.0	-0.005241605241605218
ASB2	3.0	0.0038493038493038756
