Item ID	Item value	Change in Kuiper test statistic when item removed
DOCK4	12.0	0.013095238095237993
CD83	8.0	8.403361344536675E-4
JPT2	10.0	8.403361344536675E-4
TNFAIP2	3.0	-0.018767507002801276
TUBD1	7.0	-0.0016106442577031865
IRS2	16.0	0.030252100840336027
LAMC2	0.0	-0.028571428571428636
PRSS23	-3.0	-0.028571428571428692
DRAM1	10.0	8.403361344536675E-4
ABLIM3	15.0	0.030252100840336027
PLAU	3.0	-0.018767507002801276
ZMIZ2	9.0	8.403361344536675E-4
EFHD2	-1.0	-0.028571428571428692
PHLDA2	5.0	-0.018767507002801276
LDLR	10.0	8.403361344536675E-4
ADAMTS9	14.0	0.030252100840336027
ZNF267	20.0	0.030252100840336027
OSR2	18.0	0.030252100840336027
FZD5	0.0	-0.028571428571428636
HSPA5	-3.0	-0.028571428571428692
GFPT2	-2.0	-0.028571428571428692
ARID5B	8.0	8.403361344536675E-4
TRAF1	11.0	8.403361344536675E-4
NAV2	11.0	8.403361344536675E-4
CLK4	6.0	-0.018767507002801276
GEM	18.0	0.030252100840336027
KLF7	12.0	0.013095238095237993
SLCO4A1	11.0	8.403361344536675E-4
IRF1	3.0	-0.018767507002801276
BCL3	3.0	-0.018767507002801276
MED20	7.0	-0.0016106442577031865
RFX5	8.0	8.403361344536675E-4
GPRC5C	2.0	-0.028571428571428692
BIRC3	9.0	8.403361344536675E-4
HSPA1A	9.0	8.403361344536675E-4
