Item ID	Item value	Change in Kuiper test statistic when item removed
ZNF395	-2.0	-0.015384615384615441
WWC1	12.0	0.024615384615384484
TNC	-2.0	-0.015384615384615441
NEDD4L	11.0	0.024615384615384484
ADM	-2.0	-0.015384615384615441
LAMC1	-1.0	-0.0020512820512820773
FOXO1	-2.0	-0.015384615384615441
AURKA	5.0	-0.0020512820512820773
RGS2	6.0	-0.0020512820512820773
PLAU	3.0	-0.0020512820512820773
KCNN4	-2.0	-0.015384615384615441
LDLR	10.0	0.024615384615384484
JUNB	5.0	-0.0020512820512820773
IER3	4.0	-0.0020512820512820773
IL4R	4.0	-0.0020512820512820773
SDF2L1	12.0	0.024615384615384484
BDNF	-2.0	-0.015384615384615441
DUSP1	17.0	0.024615384615384484
SLC39A14	11.0	0.024615384615384484
BCL6	18.0	0.024615384615384484
COL7A1	8.0	0.024615384615384484
ID1	2.0	-0.0020512820512820773
LHFPL6	19.0	0.024615384615384484
NFKBIE	6.0	-0.0020512820512820773
FJX1	-2.0	-0.015384615384615441
CDH19	19.0	0.024615384615384484
