Item ID	Item value	Change in Kuiper test statistic when item removed
TFRC	7.0	0.010831586303284346
OGG1	13.0	-0.008036338225017536
LAMC2	4.0	0.010831586303284346
BRCA1	16.0	0.010831586303284346
HK2	3.0	0.010831586303284346
DCAF7	11.0	-0.008036338225017536
HS2ST1	4.0	0.010831586303284346
PTTG1	5.0	0.010831586303284346
OIP5	14.0	-0.008036338225017536
GTSE1	4.0	0.010831586303284346
RBM14	14.0	-0.008036338225017536
HSP90AA1	17.0	0.010831586303284346
SYK	12.0	-0.008036338225017536
NUP210	12.0	-0.008036338225017536
CAD	12.0	-0.008036338225017536
UBE2E1	24.0	0.010831586303284346
CTPS1	12.0	-0.008036338225017536
ACYP1	12.0	-0.008036338225017536
WDR77	13.0	-0.008036338225017536
RNF126	24.0	0.010831586303284346
RFX5	12.0	-0.008036338225017536
MED20	11.0	-0.008036338225017536
TIMELESS	15.0	0.010831586303284346
CKS2	11.0	-0.008036338225017536
KIF2C	8.0	0.010831586303284346
SNRPA1	2.0	0.010831586303284346
DCP2	11.0	-0.008036338225017536
PPID	12.0	-0.008036338225017536
FBLN1	21.0	0.010831586303284346
HMMR	10.0	-0.008036338225017536
HMGCR	14.0	-0.008036338225017536
CENPC	0.0	0.010831586303284346
AURKA	9.0	0.010831586303284346
HSPD1	13.0	-0.008036338225017536
PSMC3IP	14.0	-0.008036338225017536
CCNB1	10.0	-0.008036338225017536
LDHA	5.0	0.010831586303284346
HSPH1	13.0	-0.008036338225017536
MAT2A	13.0	-0.008036338225017536
DPH2	12.0	-0.008036338225017536
CCT5	10.0	-0.008036338225017536
FANCI	2.0	0.010831586303284346
RRM2	11.0	-0.008036338225017536
NFYB	12.0	-0.008036338225017536
MYBPH	12.0	-0.008036338225017536
TTC39A	10.0	-0.008036338225017536
POLA1	18.0	0.010831586303284346
NAT1	11.0	-0.008036338225017536
MFAP1	11.0	-0.008036338225017536
POLE2	1.0	0.010831586303284346
TUBGCP3	1.0	0.010831586303284346
RECK	15.0	0.010831586303284346
ADA	14.0	-0.008036338225017536
NECTIN1	4.0	0.010831586303284346
