Item ID	Item value	Change in Kuiper test statistic when item removed
AOC3	-3.0	-0.016304347826087195
RBM14	10.0	-0.016304347826087418
CDKN2B	7.0	-0.016304347826087195
PAQR6	0.0	-0.016304347826087195
CFH	18.0	0.07065217391304324
SP110	10.0	-0.016304347826087418
CYP51A1	14.0	0.02717391304347805
MEPCE	6.0	-0.016304347826087195
LAMC1	-1.0	-0.016304347826087195
HK2	-1.0	-0.016304347826087195
SYT17	7.0	-0.016304347826087195
CENPC	-4.0	-0.016304347826087195
EXOSC7	0.0	-0.016304347826087195
ARFRP1	8.0	-0.01630434782608764
GPAM	8.0	-0.01630434782608764
BCL6	18.0	0.07065217391304324
PRPH2	-3.0	-0.016304347826087195
CTH	8.0	-0.01630434782608764
SLIT3	17.0	0.07065217391304324
NPTX2	17.0	0.07065217391304324
PPFIA4	1.0	-0.016304347826087195
HES2	-2.0	-0.016304347826087195
ZNF135	9.0	-0.016304347826087195
IER3	4.0	-0.016304347826087195
