Item ID	Item value	Change in Kuiper test statistic when item removed
CSF1R	8.0	0.0030769230769230327
RRAD	8.0	0.0030769230769230327
ITGB3	-4.0	-0.02692307692307705
AVIL	6.0	0.0030769230769229217
TNFAIP2	3.0	0.0030769230769229217
CIB1	4.0	0.0030769230769229217
SNX10	-3.0	-0.02692307692307705
TNF	7.0	0.0030769230769230327
NTN1	19.0	0.04307692307692307
PSTPIP1	11.0	0.0030769230769229217
TRIM5	10.0	0.0030769230769230327
MYB	0.0	-0.02692307692307705
CASP4	10.0	0.0030769230769230327
CASP1	13.0	0.04307692307692307
LRRFIP1	-3.0	-0.02692307692307705
CCR5	5.0	0.0030769230769229217
PHLDA2	5.0	0.0030769230769229217
DUSP2	5.0	0.0030769230769229217
TGFB1	3.0	0.0030769230769229217
IL4R	4.0	0.0030769230769229217
TRAF1	11.0	0.0030769230769229217
MFAP1	7.0	0.0030769230769230327
IRF1	3.0	0.0030769230769229217
IL2RB	9.0	0.0030769230769229217
ZYX	11.0	0.0030769230769229217
NFKBIE	6.0	0.0030769230769229217
