Item ID	Item value	Change in Kuiper test statistic when item removed
STARD5	14.0	-0.005494505494505364
NFYA	12.0	-0.005494505494505364
NFYB	12.0	-0.005494505494505364
CYP51A1	18.0	0.042582417582417986
AKR1C3	14.0	-0.005494505494505364
DHCR24	16.0	-0.005494505494505364
ELOVL6	19.0	0.042582417582417986
HMGCR	14.0	-0.005494505494505364
HSD17B7	13.0	-0.005494505494505364
CYP39A1	12.0	-0.005494505494505364
CH25H	13.0	-0.005494505494505364
HSD11B2	3.0	0.07142857142857162
GPAM	12.0	-0.005494505494505364
TBL1X	16.0	-0.005494505494505364
