Item ID	Item value	Change in Kuiper test statistic when item removed
HSP90AA1	13.0	0.06315789473684202
NNMT	17.0	0.06315789473684202
QPRT	11.0	0.01052631578947355
SLC2A1	-2.0	0.014912280701754432
AKR1C3	10.0	0.010526315789473661
SLC52A1	9.0	0.010526315789473661
MTR	-2.0	0.014912280701754432
COQ5	9.0	0.010526315789473661
SLC5A6	9.0	0.010526315789473661
THTPA	10.0	0.010526315789473661
BST1	1.0	0.014912280701754432
BTD	11.0	0.01052631578947355
APOM	2.0	0.014912280701754432
SPR	9.0	0.010526315789473661
NMNAT1	7.0	-0.007017543859649089
NMRK1	7.0	-0.007017543859649089
RBP1	1.0	0.014912280701754432
GPC2	10.0	0.010526315789473661
CALM1	0.0	0.014912280701754432
LDLR	10.0	0.010526315789473661
