Item ID	Item value	Change in Kuiper test statistic when item removed
HSP90AA1	13.0	0.07916666666666661
TUBAL3	18.0	0.07916666666666661
CEP152	9.0	0.012499999999999956
PPP2R5B	8.0	0.012499999999999734
TUBG2	5.0	-0.004166666666666652
TUBG1	6.0	0.012499999999999956
CENPC	-4.0	-0.054166666666666696
CCNB1	6.0	0.012499999999999956
NME7	9.0	0.012499999999999956
CENPJ	8.0	0.012499999999999734
TUBGCP5	-3.0	-0.054166666666666696
BIRC5	0.0	-0.054166666666666696
TUBGCP6	8.0	0.012499999999999734
TUBGCP3	-3.0	-0.054166666666666696
KIF2C	4.0	-0.029166666666666674
CENPN	0.0	-0.054166666666666696
