Item ID	Item value	Change in Kuiper test statistic when item removed
SLC35B3	8.0	0.018115942028985366
SLC47A2	-4.0	-0.025362318840579823
SLC24A1	10.0	0.018115942028985255
SLC15A1	-2.0	-0.025362318840579823
SLC27A1	11.0	0.018115942028985366
SLC13A3	-3.0	-0.025362318840579823
SLC13A4	10.0	0.018115942028985255
SLC24A3	-3.0	-0.025362318840579823
SLC20A2	-3.0	-0.025362318840579823
SLC43A1	8.0	0.018115942028985366
SLC6A14	4.0	-0.025362318840579823
SLC2A1	-2.0	-0.025362318840579823
SLC41A1	9.0	0.018115942028985366
SLC39A10	11.0	0.018115942028985366
SLC16A10	9.0	0.018115942028985366
SLC39A14	11.0	0.018115942028985366
SLC5A6	9.0	0.018115942028985366
SLC6A9	1.0	-0.025362318840579823
SLCO4A1	11.0	0.018115942028985366
SLC9A9	14.0	0.061594202898550554
CALM1	0.0	-0.025362318840579823
SLC25A4	-1.0	-0.025362318840579823
SLC26A6	9.0	0.018115942028985366
SLC28A3	-2.0	-0.025362318840579823
