Item ID	Item value	Change in Kuiper test statistic when item removed
SLC35B3	12.0	-0.010638297872340274
SLC24A1	14.0	-0.010638297872340163
SLC27A1	15.0	-0.010638297872340163
SLC24A3	1.0	0.01110083256244232
TFRC	7.0	0.01110083256244232
ABCB6	14.0	-0.010638297872340163
SLC20A2	1.0	0.01110083256244232
SLC43A1	12.0	-0.010638297872340274
SLC2A1	2.0	0.01110083256244232
ADCY4	3.0	0.01110083256244232
NEDD4L	15.0	-0.010638297872340163
ATP10B	17.0	0.011100832562442431
SLC41A1	13.0	-0.010638297872340274
ATP1A2	23.0	0.011100832562442431
VLDLR	3.0	0.01110083256244232
AQP3	10.0	0.01110083256244232
AP2A2	14.0	-0.010638297872340163
AQP1	20.0	0.011100832562442431
CA2	15.0	-0.010638297872340163
LRRC8C	0.0	0.01110083256244232
A2M	22.0	0.011100832562442431
LDLR	14.0	-0.010638297872340163
ATP6V1E2	15.0	-0.010638297872340163
SLC15A1	2.0	0.01110083256244232
SLC13A3	1.0	0.01110083256244232
SLC13A4	14.0	-0.010638297872340163
RIPK3	12.0	-0.010638297872340274
ABCC5	13.0	-0.010638297872340274
SLC6A14	8.0	0.01110083256244232
TRPV2	13.0	-0.010638297872340274
CYBRD1	14.0	-0.010638297872340163
ANO9	11.0	0.009289238359543817
SLC39A10	15.0	-0.010638297872340163
SLC16A10	13.0	-0.010638297872340274
ANO6	4.0	0.01110083256244232
SLC39A14	15.0	-0.010638297872340163
SLC5A6	13.0	-0.010638297872340274
AFG3L2	3.0	0.01110083256244232
AZGP1	13.0	-0.010638297872340274
TRPV6	11.0	0.009289238359543817
SLC6A9	5.0	0.011100832562442375
TRPV4	5.0	0.011100832562442375
SLC9A9	18.0	0.011100832562442431
CALM1	4.0	0.01110083256244232
SLC25A4	3.0	0.01110083256244232
ABCG1	4.0	0.01110083256244232
SLC26A6	13.0	-0.010638297872340274
